HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
AA School of Architecture,England,All,All,Domicile,Total Non-UK,870
AA School of Architecture,England,All,All,Total,Total,965
AA School of Architecture,England,All,Full-time,Total,Total,965
The University of Aberdeen,Scotland,All,All,Domicile,Total Non-UK,4825
The University of Aberdeen,Scotland,All,All,Total,Total,16080
The University of Aberdeen,Scotland,All,Full-time,Total,Total,12570
The University of Aberdeen,Scotland,All,Part-time,Total,Total,3505
Abertay University,Scotland,All,All,Domicile,Total Non-UK,645
Abertay University,Scotland,All,All,Total,Total,4575
Abertay University,Scotland,All,Full-time,Total,Total,4195
Abertay University,Scotland,All,Part-time,Total,Total,375
Aberystwyth University,Wales,All,All,Domicile,Total Non-UK,1420
Aberystwyth University,Wales,All,All,Total,Total,8040
Aberystwyth University,Wales,All,Full-time,Total,Total,6075
Aberystwyth University,Wales,All,Part-time,Total,Total,1965
ACM Guildford Limited,England,All,All,Domicile,Total Non-UK,65
ACM Guildford Limited,England,All,All,Total,Total,1185
ACM Guildford Limited,England,All,Full-time,Total,Total,1185
Academy of Live and Recorded Arts,England,All,All,Domicile,Total Non-UK,10
Academy of Live and Recorded Arts,England,All,All,Total,Total,270
Academy of Live and Recorded Arts,England,All,Full-time,Total,Total,270
AECC University College,England,All,All,Domicile,Total Non-UK,285
AECC University College,England,All,All,Total,Total,875
AECC University College,England,All,Full-time,Total,Total,760
AECC University College,England,All,Part-time,Total,Total,115
Amity Global Education,England,All,All,Domicile,Total Non-UK,0
Amity Global Education,England,All,All,Total,Total,80
Amity Global Education,England,All,Full-time,Total,Total,80
Amity Global Education,England,All,Part-time,Total,Total,0
Anglia Ruskin University,England,All,All,Domicile,Total Non-UK,6350
Anglia Ruskin University,England,All,All,Total,Total,32180
Anglia Ruskin University,England,All,Full-time,Total,Total,26160
Anglia Ruskin University,England,All,Part-time,Total,Total,6020
Apex College London,England,All,All,Domicile,Total Non-UK,0
Apex College London,England,All,All,Total,Total,170
Apex College London,England,All,Full-time,Total,Total,170
Applied Business Academy Limited,England,All,All,Domicile,Total Non-UK,0
Applied Business Academy Limited,England,All,All,Total,Total,220
Applied Business Academy Limited,England,All,Full-time,Total,Total,220
Applied Business Academy Limited,England,All,Part-time,Total,Total,0
Arden University,England,All,All,Domicile,Total Non-UK,25
Arden University,England,All,All,Total,Total,11760
Arden University,England,All,Full-time,Total,Total,8125
Arden University,England,All,Part-time,Total,Total,3640
Arts Educational Schools,England,All,All,Domicile,Total Non-UK,50
Arts Educational Schools,England,All,All,Total,Total,385
Arts Educational Schools,England,All,Full-time,Total,Total,385
The Ashridge (Bonar Law Memorial) Trust,England,All,All,Domicile,Total Non-UK,75
The Ashridge (Bonar Law Memorial) Trust,England,All,All,Total,Total,1075
The Ashridge (Bonar Law Memorial) Trust,England,All,Part-time,Total,Total,1075
Hult International Business School Ltd,England,All,All,Domicile,Total Non-UK,1515
Hult International Business School Ltd,England,All,All,Total,Total,1575
Hult International Business School Ltd,England,All,Full-time,Total,Total,1475
Hult International Business School Ltd,England,All,Part-time,Total,Total,100
