HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,2287540
all,all,All postgraduate,all,total,total,532630
all,all,All postgraduate,full-time,total,total,226060
all,all,All postgraduate,part-time,total,total,306570
all,all,All postgraduate,all,domicile,total uk,366835
all,all,All postgraduate,all,domicile,total non-uk,165795
all,all,All undergraduate,all,total,total,1754910
all,all,All undergraduate,full-time,total,total,1165445
all,all,All undergraduate,part-time,total,total,589465
all,all,All undergraduate,all,domicile,total uk,1602305
all,all,All undergraduate,all,domicile,total non-uk,152600
all,all,all,full-time,total,total,1391505
all,all,all,part-time,total,total,896035
all,all,all,all,domicile,total uk,1969140
all,all,all,all,domicile,total non-uk,318395
total,england,all,all,total,total,1895825
total,england,All postgraduate,all,total,total,447440
total,england,All postgraduate,full-time,total,total,190660
total,england,All postgraduate,part-time,total,total,256780
total,england,All postgraduate,all,domicile,total uk,307085
total,england,All postgraduate,all,domicile,total non-uk,140355
total,england,All undergraduate,all,total,total,1448380
total,england,All undergraduate,full-time,total,total,945120
total,england,All undergraduate,part-time,total,total,503260
total,england,All undergraduate,all,domicile,total uk,1320440
total,england,All undergraduate,all,domicile,total non-uk,127940
total,england,all,full-time,total,total,1135780
total,england,all,part-time,total,total,760040
total,england,all,all,domicile,total uk,1627525
total,england,all,all,domicile,total non-uk,268295
anglia ruskin university,england,all,all,total,total,26850
anglia ruskin university,england,All postgraduate,all,total,total,4160
anglia ruskin university,england,All postgraduate,full-time,total,total,725
anglia ruskin university,england,All postgraduate,part-time,total,total,3435
anglia ruskin university,england,All postgraduate,all,domicile,total uk,3290
anglia ruskin university,england,All postgraduate,all,domicile,total non-uk,870
anglia ruskin university,england,All undergraduate,all,total,total,22690
anglia ruskin university,england,All undergraduate,full-time,total,total,9695
anglia ruskin university,england,All undergraduate,part-time,total,total,13000
anglia ruskin university,england,All undergraduate,all,domicile,total uk,21085
anglia ruskin university,england,All undergraduate,all,domicile,total non-uk,1605
anglia ruskin university,england,all,full-time,total,total,10420
anglia ruskin university,england,all,part-time,total,total,16435
anglia ruskin university,england,all,all,domicile,total uk,24375
anglia ruskin university,england,all,all,domicile,total non-uk,2475
aston university,england,all,all,total,total,8475
aston university,england,All postgraduate,all,total,total,2315
aston university,england,All postgraduate,full-time,total,total,1115
aston university,england,All postgraduate,part-time,total,total,1200
aston university,england,All postgraduate,all,domicile,total uk,1305
aston university,england,All postgraduate,all,domicile,total non-uk,1010
aston university,england,All undergraduate,all,total,total,6160
aston university,england,All undergraduate,full-time,total,total,5780
aston university,england,All undergraduate,part-time,total,total,380
aston university,england,All undergraduate,all,domicile,total uk,5330
aston university,england,All undergraduate,all,domicile,total non-uk,830
aston university,england,all,full-time,total,total,6895
aston university,england,all,part-time,total,total,1580
aston university,england,all,all,domicile,total uk,6635
aston university,england,all,all,domicile,total non-uk,1840
bath spa university,england,all,all,total,total,6275
bath spa university,england,All postgraduate,all,total,total,2100
bath spa university,england,All postgraduate,full-time,total,total,770
bath spa university,england,All postgraduate,part-time,total,total,1335
bath spa university,england,All postgraduate,all,domicile,total uk,2040
bath spa university,england,All postgraduate,all,domicile,total non-uk,65
bath spa university,england,All undergraduate,all,total,total,4175
bath spa university,england,All undergraduate,full-time,total,total,3870
bath spa university,england,All undergraduate,part-time,total,total,305
bath spa university,england,All undergraduate,all,domicile,total uk,3975
bath spa university,england,All undergraduate,all,domicile,total non-uk,200
bath spa university,england,all,full-time,total,total,4640
bath spa university,england,all,part-time,total,total,1640
bath spa university,england,all,all,domicile,total uk,6015
bath spa university,england,all,all,domicile,total non-uk,265
the university of bath,england,all,all,total,total,14565
the university of bath,england,All postgraduate,all,total,total,4790
the university of bath,england,All postgraduate,full-time,total,total,1525
the university of bath,england,All postgraduate,part-time,total,total,3265
the university of bath,england,All postgraduate,all,domicile,total uk,3010
the university of bath,england,All postgraduate,all,domicile,total non-uk,1780
the university of bath,england,All undergraduate,all,total,total,9775
the university of bath,england,All undergraduate,full-time,total,total,7855
the university of bath,england,All undergraduate,part-time,total,total,1920
the university of bath,england,All undergraduate,all,domicile,total uk,8425
the university of bath,england,All undergraduate,all,domicile,total non-uk,1350
the university of bath,england,all,full-time,total,total,9380
the university of bath,england,all,part-time,total,total,5185
the university of bath,england,all,all,domicile,total uk,11435
the university of bath,england,all,all,domicile,total non-uk,3130
birkbeck college,england,all,all,total,total,14905
birkbeck college,england,All postgraduate,all,total,total,3730
birkbeck college,england,All postgraduate,full-time,total,total,710
birkbeck college,england,All postgraduate,part-time,total,total,3020
birkbeck college,england,All postgraduate,all,domicile,total uk,3350
birkbeck college,england,All postgraduate,all,domicile,total non-uk,380
birkbeck college,england,All undergraduate,all,total,total,11170
birkbeck college,england,All undergraduate,full-time,total,total,5
birkbeck college,england,All undergraduate,part-time,total,total,11165
birkbeck college,england,All undergraduate,all,domicile,total uk,10755
birkbeck college,england,All undergraduate,all,domicile,total non-uk,420
birkbeck college,england,all,full-time,total,total,715
birkbeck college,england,all,part-time,total,total,14185
birkbeck college,england,all,all,domicile,total uk,14105
birkbeck college,england,all,all,domicile,total non-uk,800
"birmingham college of food, tourism and creative studies",england,all,all,total,total,3530
"birmingham college of food, tourism and creative studies",england,All postgraduate,all,total,total,340
"birmingham college of food, tourism and creative studies",england,All postgraduate,full-time,total,total,200
"birmingham college of food, tourism and creative studies",england,All postgraduate,part-time,total,total,140
"birmingham college of food, tourism and creative studies",england,All postgraduate,all,domicile,total uk,85
"birmingham college of food, tourism and creative studies",england,All postgraduate,all,domicile,total non-uk,255
"birmingham college of food, tourism and creative studies",england,All undergraduate,all,total,total,3190
"birmingham college of food, tourism and creative studies",england,All undergraduate,full-time,total,total,2420
"birmingham college of food, tourism and creative studies",england,All undergraduate,part-time,total,total,775
"birmingham college of food, tourism and creative studies",england,All undergraduate,all,domicile,total uk,2575
"birmingham college of food, tourism and creative studies",england,All undergraduate,all,domicile,total non-uk,620
"birmingham college of food, tourism and creative studies",england,all,full-time,total,total,2620
"birmingham college of food, tourism and creative studies",england,all,part-time,total,total,915
"birmingham college of food, tourism and creative studies",england,all,all,domicile,total uk,2660
"birmingham college of food, tourism and creative studies",england,all,all,domicile,total non-uk,875
the university of birmingham,england,all,all,total,total,30520
the university of birmingham,england,All postgraduate,all,total,total,11735
the university of birmingham,england,All postgraduate,full-time,total,total,5500
the university of birmingham,england,All postgraduate,part-time,total,total,6235
the university of birmingham,england,All postgraduate,all,domicile,total uk,7620
the university of birmingham,england,All postgraduate,all,domicile,total non-uk,4110
the university of birmingham,england,All undergraduate,all,total,total,18785
the university of birmingham,england,All undergraduate,full-time,total,total,16340
the university of birmingham,england,All undergraduate,part-time,total,total,2440
the university of birmingham,england,All undergraduate,all,domicile,total uk,17350
the university of birmingham,england,All undergraduate,all,domicile,total non-uk,1435
the university of birmingham,england,all,full-time,total,total,21840
the university of birmingham,england,all,part-time,total,total,8675
the university of birmingham,england,all,all,domicile,total uk,24970
the university of birmingham,england,all,all,domicile,total non-uk,5545
bishop grosseteste college,england,all,all,total,total,1500
bishop grosseteste college,england,All postgraduate,all,total,total,535
bishop grosseteste college,england,All postgraduate,full-time,total,total,255
bishop grosseteste college,england,All postgraduate,part-time,total,total,280
bishop grosseteste college,england,All postgraduate,all,domicile,total uk,535
bishop grosseteste college,england,All postgraduate,all,domicile,total non-uk,0
bishop grosseteste college,england,All undergraduate,all,total,total,965
bishop grosseteste college,england,All undergraduate,full-time,total,total,945
bishop grosseteste college,england,All undergraduate,part-time,total,total,20
bishop grosseteste college,england,All undergraduate,all,domicile,total uk,965
bishop grosseteste college,england,All undergraduate,all,domicile,total non-uk,0
bishop grosseteste college,england,all,full-time,total,total,1200
bishop grosseteste college,england,all,part-time,total,total,300
bishop grosseteste college,england,all,all,domicile,total uk,1500
bishop grosseteste college,england,all,all,domicile,total non-uk,0
the university of bolton,england,all,all,total,total,7475
the university of bolton,england,All postgraduate,all,total,total,1505
the university of bolton,england,All postgraduate,full-time,total,total,595
the university of bolton,england,All postgraduate,part-time,total,total,915
the university of bolton,england,All postgraduate,all,domicile,total uk,1205
the university of bolton,england,All postgraduate,all,domicile,total non-uk,300
the university of bolton,england,All undergraduate,all,total,total,5965
the university of bolton,england,All undergraduate,full-time,total,total,3335
the university of bolton,england,All undergraduate,part-time,total,total,2635
the university of bolton,england,All undergraduate,all,domicile,total uk,5515
the university of bolton,england,All undergraduate,all,domicile,total non-uk,455
the university of bolton,england,all,full-time,total,total,3930
the university of bolton,england,all,part-time,total,total,3550
the university of bolton,england,all,all,domicile,total uk,6720
the university of bolton,england,all,all,domicile,total non-uk,755
the arts institute at bournemouth,england,all,all,total,total,1490
the arts institute at bournemouth,england,All postgraduate,all,total,total,25
the arts institute at bournemouth,england,All postgraduate,full-time,total,total,0
the arts institute at bournemouth,england,All postgraduate,part-time,total,total,25
the arts institute at bournemouth,england,All postgraduate,all,domicile,total uk,25
the arts institute at bournemouth,england,All postgraduate,all,domicile,total non-uk,0
the arts institute at bournemouth,england,All undergraduate,all,total,total,1470
the arts institute at bournemouth,england,All undergraduate,full-time,total,total,1345
the arts institute at bournemouth,england,All undergraduate,part-time,total,total,125
the arts institute at bournemouth,england,All undergraduate,all,domicile,total uk,1315
the arts institute at bournemouth,england,All undergraduate,all,domicile,total non-uk,155
the arts institute at bournemouth,england,all,full-time,total,total,1345
the arts institute at bournemouth,england,all,part-time,total,total,150
the arts institute at bournemouth,england,all,all,domicile,total uk,1340
the arts institute at bournemouth,england,all,all,domicile,total non-uk,155
bournemouth university,england,all,all,total,total,15300
bournemouth university,england,All postgraduate,all,total,total,1985
bournemouth university,england,All postgraduate,full-time,total,total,1210
bournemouth university,england,All postgraduate,part-time,total,total,775
bournemouth university,england,All postgraduate,all,domicile,total uk,1055
bournemouth university,england,All postgraduate,all,domicile,total non-uk,925
bournemouth university,england,All undergraduate,all,total,total,13315
bournemouth university,england,All undergraduate,full-time,total,total,9510
bournemouth university,england,All undergraduate,part-time,total,total,3805
bournemouth university,england,All undergraduate,all,domicile,total uk,12595
bournemouth university,england,All undergraduate,all,domicile,total non-uk,720
bournemouth university,england,all,full-time,total,total,10720
bournemouth university,england,all,part-time,total,total,4580
bournemouth university,england,all,all,domicile,total uk,13650
bournemouth university,england,all,all,domicile,total non-uk,1645
the university of bradford,england,all,all,total,total,12660
the university of bradford,england,All postgraduate,all,total,total,4110
the university of bradford,england,All postgraduate,full-time,total,total,1220
the university of bradford,england,All postgraduate,part-time,total,total,2890
the university of bradford,england,All postgraduate,all,domicile,total uk,2005
the university of bradford,england,All postgraduate,all,domicile,total non-uk,2105
the university of bradford,england,All undergraduate,all,total,total,8545
the university of bradford,england,All undergraduate,full-time,total,total,6900
the university of bradford,england,All undergraduate,part-time,total,total,1645
the university of bradford,england,All undergraduate,all,domicile,total uk,7160
the university of bradford,england,All undergraduate,all,domicile,total non-uk,1385
the university of bradford,england,all,full-time,total,total,8120
