HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
AA School of Architecture,England,All,All,Domicile,Total Non-UK,680
AA School of Architecture,England,All,All,Total,Total,775
AA School of Architecture,England,All,Full-time,Total,Total,775
The University of Aberdeen,Scotland,All,All,Domicile,Total Non-UK,5235
The University of Aberdeen,Scotland,All,All,Total,Total,14775
The University of Aberdeen,Scotland,All,Full-time,Total,Total,12750
The University of Aberdeen,Scotland,All,Part-time,Total,Total,2025
Abertay University,Scotland,All,All,Domicile,Total Non-UK,680
Abertay University,Scotland,All,All,Total,Total,4355
Abertay University,Scotland,All,Full-time,Total,Total,3895
Abertay University,Scotland,All,Part-time,Total,Total,465
Aberystwyth University,Wales,All,All,Domicile,Total Non-UK,1360
Aberystwyth University,Wales,All,All,Total,Total,7845
Aberystwyth University,Wales,All,Full-time,Total,Total,6300
Aberystwyth University,Wales,All,Part-time,Total,Total,1545
Access to Music Limited,England,All,All,Domicile,Total Non-UK,0
Access to Music Limited,England,All,All,Total,Total,20
Access to Music Limited,England,All,Full-time,Total,Total,20
ACM Guildford Limited,England,All,All,Domicile,Total Non-UK,85
ACM Guildford Limited,England,All,All,Total,Total,1185
ACM Guildford Limited,England,All,Full-time,Total,Total,1185
Academy of Live and Recorded Arts,England,All,All,Domicile,Total Non-UK,15
Academy of Live and Recorded Arts,England,All,All,Total,Total,260
Academy of Live and Recorded Arts,England,All,Full-time,Total,Total,260
AECC University College,England,All,All,Domicile,Total Non-UK,225
AECC University College,England,All,All,Total,Total,595
AECC University College,England,All,Full-time,Total,Total,475
AECC University College,England,All,Part-time,Total,Total,120
Amity Global Education,England,All,All,Domicile,Total Non-UK,40
Amity Global Education,England,All,All,Total,Total,80
Amity Global Education,England,All,Full-time,Total,Total,80
Anglia Ruskin University,England,All,All,Domicile,Total Non-UK,3540
Anglia Ruskin University,England,All,All,Total,Total,24490
Anglia Ruskin University,England,All,Full-time,Total,Total,19425
Anglia Ruskin University,England,All,Part-time,Total,Total,5065
Apex College London,England,All,All,Domicile,Total Non-UK,0
Apex College London,England,All,All,Total,Total,50
Apex College London,England,All,Full-time,Total,Total,50
Arden University,England,All,All,Domicile,Total Non-UK,30
Arden University,England,All,All,Total,Total,5175
Arden University,England,All,Full-time,Total,Total,2670
Arden University,England,All,Part-time,Total,Total,2505
Arts Educational Schools,England,All,All,Domicile,Total Non-UK,25
Arts Educational Schools,England,All,All,Total,Total,275
Arts Educational Schools,England,All,Full-time,Total,Total,265
Arts Educational Schools,England,All,Part-time,Total,Total,10
Aston University,England,All,All,Domicile,Total Non-UK,2465
Aston University,England,All,All,Total,Total,14990
Aston University,England,All,Full-time,Total,Total,12210
Aston University,England,All,Part-time,Total,Total,2780
Bangor University,Wales,All,All,Domicile,Total Non-UK,1965
Bangor University,Wales,All,All,Total,Total,10195
Bangor University,Wales,All,Full-time,Total,Total,9050
Bangor University,Wales,All,Part-time,Total,Total,1145
Bath Spa University,England,All,All,Domicile,Total Non-UK,575
Bath Spa University,England,All,All,Total,Total,7770
Bath Spa University,England,All,Full-time,Total,Total,6865
Bath Spa University,England,All,Part-time,Total,Total,900
The University of Bath,England,All,All,Domicile,Total Non-UK,5570
The University of Bath,England,All,All,Total,Total,18065
The University of Bath,England,All,Full-time,Total,Total,16385
The University of Bath,England,All,Part-time,Total,Total,1680
University of Bedfordshire,England,All,All,Domicile,Total Non-UK,3485
University of Bedfordshire,England,All,All,Total,Total,13925
University of Bedfordshire,England,All,Full-time,Total,Total,11235
University of Bedfordshire,England,All,Part-time,Total,Total,2690
Queen's University Belfast,Northern Ireland,All,All,Domicile,Total Non-UK,3780
Queen's University Belfast,Northern Ireland,All,All,Total,Total,24695
Queen's University Belfast,Northern Ireland,All,Full-time,Total,Total,19095
Queen's University Belfast,Northern Ireland,All,Part-time,Total,Total,5600
BIMM University,England,All,All,Domicile,Total Non-UK,825
BIMM University,England,All,All,Total,Total,5115
BIMM University,England,All,Full-time,Total,Total,5115
Birkbeck College,England,All,All,Domicile,Total Non-UK,1375
Birkbeck College,England,All,All,Total,Total,11390
Birkbeck College,England,All,Full-time,Total,Total,4550
Birkbeck College,England,All,Part-time,Total,Total,6840
Birmingham City University,England,All,All,Domicile,Total Non-UK,2960
Birmingham City University,England,All,All,Total,Total,25855
Birmingham City University,England,All,Full-time,Total,Total,21325
Birmingham City University,England,All,Part-time,Total,Total,4535
The University of Birmingham,England,All,All,Domicile,Total Non-UK,9125
The University of Birmingham,England,All,All,Total,Total,35445
The University of Birmingham,England,All,Full-time,Total,Total,29835
The University of Birmingham,England,All,Part-time,Total,Total,5610
University College Birmingham,England,All,All,Domicile,Total Non-UK,1600
University College Birmingham,England,All,All,Total,Total,4905
University College Birmingham,England,All,Full-time,Total,Total,4275
University College Birmingham,England,All,Part-time,Total,Total,625
Bristol Baptist College,England,All,All,Domicile,Total Non-UK,0
Bristol Baptist College,England,All,All,Total,Total,55
Bristol Baptist College,England,All,Full-time,Total,Total,10
Bristol Baptist College,England,All,Part-time,Total,Total,45
Bishop Grosseteste University,England,All,All,Domicile,Total Non-UK,15
Bishop Grosseteste University,England,All,All,Total,Total,2255
Bishop Grosseteste University,England,All,Full-time,Total,Total,2060
Bishop Grosseteste University,England,All,Part-time,Total,Total,195
Bloomsbury Institute,England,All,All,Domicile,Total Non-UK,50
Bloomsbury Institute,England,All,All,Total,Total,2090
Bloomsbury Institute,England,All,Full-time,Total,Total,2090
The University of Bolton,England,All,All,Domicile,Total Non-UK,585
The University of Bolton,England,All,All,Total,Total,6945
The University of Bolton,England,All,Full-time,Total,Total,5405
The University of Bolton,England,All,Part-time,Total,Total,1540
The Arts University Bournemouth,England,All,All,Domicile,Total Non-UK,560
The Arts University Bournemouth,England,All,All,Total,Total,3385
The Arts University Bournemouth,England,All,Full-time,Total,Total,3325
The Arts University Bournemouth,England,All,Part-time,Total,Total,60
Bournemouth University,England,All,All,Domicile,Total Non-UK,2200
Bournemouth University,England,All,All,Total,Total,17860
Bournemouth University,England,All,Full-time,Total,Total,14960
Bournemouth University,England,All,Part-time,Total,Total,2895
BPP University,England,All,All,Domicile,Total Non-UK,2840
BPP University,England,All,All,Total,Total,9565
BPP University,England,All,Full-time,Total,Total,6380
BPP University,England,All,Part-time,Total,Total,3190
The University of Bradford,England,All,All,Domicile,Total Non-UK,1415
The University of Bradford,England,All,All,Total,Total,9665
The University of Bradford,England,All,Full-time,Total,Total,7745
The University of Bradford,England,All,Part-time,Total,Total,1920
The University of Brighton,England,All,All,Domicile,Total Non-UK,2685
The University of Brighton,England,All,All,Total,Total,20470
The University of Brighton,England,All,Full-time,Total,Total,15745
