HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
BPP University,England,All,Full-time,Total,Total,8585
BPP University,England,All,Part-time,Total,Total,3580
The University of Bradford,England,All,All,Domicile,Total Non-UK,1605
The University of Bradford,England,All,All,Total,Total,9770
The University of Bradford,England,All,Full-time,Total,Total,8005
The University of Bradford,England,All,Part-time,Total,Total,1760
The University of Brighton,England,All,All,Domicile,Total Non-UK,2525
The University of Brighton,England,All,All,Total,Total,18985
The University of Brighton,England,All,Full-time,Total,Total,15080
The University of Brighton,England,All,Part-time,Total,Total,3905
The University College of Osteopathy,England,All,All,Domicile,Total Non-UK,45
The University College of Osteopathy,England,All,All,Total,Total,465
The University College of Osteopathy,England,All,Full-time,Total,Total,250
The University College of Osteopathy,England,All,Part-time,Total,Total,215
The University of Bristol,England,All,All,Domicile,Total Non-UK,7165
The University of Bristol,England,All,All,Total,Total,27375
The University of Bristol,England,All,Full-time,Total,Total,25645
The University of Bristol,England,All,Part-time,Total,Total,1730
Trinity College Bristol,England,All,All,Domicile,Total Non-UK,0
Trinity College Bristol,England,All,All,Total,Total,155
Trinity College Bristol,England,All,Full-time,Total,Total,80
Trinity College Bristol,England,All,Part-time,Total,Total,75
Brunel University London,England,All,All,Domicile,Total Non-UK,4645
Brunel University London,England,All,All,Total,Total,15585
Brunel University London,England,All,Full-time,Total,Total,14380
Brunel University London,England,All,Part-time,Total,Total,1205
Buckinghamshire New University,England,All,All,Domicile,Total Non-UK,900
Buckinghamshire New University,England,All,All,Total,Total,14075
Buckinghamshire New University,England,All,Full-time,Total,Total,11930
Buckinghamshire New University,England,All,Part-time,Total,Total,2145
The University of Buckingham,England,All,All,Domicile,Total Non-UK,890
The University of Buckingham,England,All,All,Total,Total,3100
The University of Buckingham,England,All,Full-time,Total,Total,2750
The University of Buckingham,England,All,Part-time,Total,Total,350
UK College of Business and Computing,England,All,All,Domicile,Total Non-UK,0
UK College of Business and Computing,England,All,All,Total,Total,15
UK College of Business and Computing,England,All,Full-time,Total,Total,15
London College of Business Studies,England,All,All,Domicile,Total Non-UK,0
London College of Business Studies,England,All,All,Total,Total,85
London College of Business Studies,England,All,Full-time,Total,Total,85
Cambridge Arts and Sciences Limited,England,All,All,Domicile,Total Non-UK,150
Cambridge Arts and Sciences Limited,England,All,All,Total,Total,195
Cambridge Arts and Sciences Limited,England,All,Full-time,Total,Total,195
The University of Cambridge,England,All,All,Domicile,Total Non-UK,7550
The University of Cambridge,England,All,All,Total,Total,21340
The University of Cambridge,England,All,Full-time,Total,Total,19535
The University of Cambridge,England,All,Part-time,Total,Total,1800
The Cambridge Theological Federation,England,All,All,Domicile,Total Non-UK,5
The Cambridge Theological Federation,England,All,All,Total,Total,110
The Cambridge Theological Federation,England,All,Full-time,Total,Total,90
The Cambridge Theological Federation,England,All,Part-time,Total,Total,20
The Institute of Cancer Research,England,All,All,Domicile,Total Non-UK,35
The Institute of Cancer Research,England,All,All,Total,Total,280
The Institute of Cancer Research,England,All,Full-time,Total,Total,120
The Institute of Cancer Research,England,All,Part-time,Total,Total,160
Canterbury Christ Church University,England,All,All,Domicile,Total Non-UK,640
Canterbury Christ Church University,England,All,All,Total,Total,13340
Canterbury Christ Church University,England,All,Full-time,Total,Total,10180
Canterbury Christ Church University,England,All,Part-time,Total,Total,3160
Cardiff University,Wales,All,All,Domicile,Total Non-UK,8475
Cardiff University,Wales,All,All,Total,Total,33260
Cardiff University,Wales,All,Full-time,Total,Total,26805
Cardiff University,Wales,All,Part-time,Total,Total,6455
Cardiff Metropolitan University,Wales,All,All,Domicile,Total Non-UK,1905
Cardiff Metropolitan University,Wales,All,All,Total,Total,10920
Cardiff Metropolitan University,Wales,All,Full-time,Total,Total,9720
Cardiff Metropolitan University,Wales,All,Part-time,Total,Total,1200
The University of Central Lancashire,England,All,All,Domicile,Total Non-UK,4115
The University of Central Lancashire,England,All,All,Total,Total,24715
The University of Central Lancashire,England,All,Full-time,Total,Total,19380
The University of Central Lancashire,England,All,Part-time,Total,Total,5335
Central Film School London,England,All,All,Domicile,Total Non-UK,55
Central Film School London,England,All,All,Total,Total,75
Central Film School London,England,All,Full-time,Total,Total,75
