HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,2336110
all,all,All postgraduate,all,total,total,545370
all,all,All postgraduate,full-time,total,total,234220
all,all,All postgraduate,part-time,total,total,311150
all,all,All postgraduate,all,domicile,total uk,373785
all,all,All postgraduate,all,domicile,total non-uk,171580
all,all,All undergraduate,all,total,total,1790740
all,all,All undergraduate,full-time,total,total,1198820
all,all,All undergraduate,part-time,total,total,591925
all,all,All undergraduate,all,domicile,total uk,1632245
all,all,All undergraduate,all,domicile,total non-uk,158495
all,all,all,full-time,total,total,1433040
all,all,all,part-time,total,total,903075
all,all,all,all,domicile,total uk,2006030
all,all,all,all,domicile,total non-uk,330075
total,england,all,all,total,total,1936420
total,england,All postgraduate,all,total,total,454435
total,england,All postgraduate,full-time,total,total,196735
total,england,All postgraduate,part-time,total,total,257705
total,england,All postgraduate,all,domicile,total uk,310765
total,england,All postgraduate,all,domicile,total non-uk,143670
total,england,All undergraduate,all,total,total,1481985
total,england,All undergraduate,full-time,total,total,976815
total,england,All undergraduate,part-time,total,total,505165
total,england,All undergraduate,all,domicile,total uk,1349865
total,england,All undergraduate,all,domicile,total non-uk,132120
total,england,all,full-time,total,total,1173550
total,england,all,part-time,total,total,762870
total,england,all,all,domicile,total uk,1660630
total,england,all,all,domicile,total non-uk,275790
anglia ruskin university,england,all,all,total,total,28070
anglia ruskin university,england,All postgraduate,all,total,total,3930
anglia ruskin university,england,All postgraduate,full-time,total,total,735
anglia ruskin university,england,All postgraduate,part-time,total,total,3195
anglia ruskin university,england,All postgraduate,all,domicile,total uk,3155
anglia ruskin university,england,All postgraduate,all,domicile,total non-uk,775
anglia ruskin university,england,All undergraduate,all,total,total,24145
anglia ruskin university,england,All undergraduate,full-time,total,total,10835
anglia ruskin university,england,All undergraduate,part-time,total,total,13305
anglia ruskin university,england,All undergraduate,all,domicile,total uk,22595
anglia ruskin university,england,All undergraduate,all,domicile,total non-uk,1545
anglia ruskin university,england,all,full-time,total,total,11570
anglia ruskin university,england,all,part-time,total,total,16500
anglia ruskin university,england,all,all,domicile,total uk,25750
anglia ruskin university,england,all,all,domicile,total non-uk,2320
aston university,england,all,all,total,total,8915
aston university,england,All postgraduate,all,total,total,2410
aston university,england,All postgraduate,full-time,total,total,1155
aston university,england,All postgraduate,part-time,total,total,1255
aston university,england,All postgraduate,all,domicile,total uk,1340
aston university,england,All postgraduate,all,domicile,total non-uk,1075
aston university,england,All undergraduate,all,total,total,6505
aston university,england,All undergraduate,full-time,total,total,6235
aston university,england,All undergraduate,part-time,total,total,270
aston university,england,All undergraduate,all,domicile,total uk,5670
aston university,england,All undergraduate,all,domicile,total non-uk,835
aston university,england,all,full-time,total,total,7390
aston university,england,all,part-time,total,total,1525
aston university,england,all,all,domicile,total uk,7010
aston university,england,all,all,domicile,total non-uk,1910
bath spa university,england,all,all,total,total,6595
bath spa university,england,All postgraduate,all,total,total,2300
bath spa university,england,All postgraduate,full-time,total,total,725
bath spa university,england,All postgraduate,part-time,total,total,1575
bath spa university,england,All postgraduate,all,domicile,total uk,2245
bath spa university,england,All postgraduate,all,domicile,total non-uk,55
bath spa university,england,All undergraduate,all,total,total,4295
bath spa university,england,All undergraduate,full-time,total,total,3925
bath spa university,england,All undergraduate,part-time,total,total,370
bath spa university,england,All undergraduate,all,domicile,total uk,4115
bath spa university,england,All undergraduate,all,domicile,total non-uk,180
