HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
AA School of Architecture,England,All,All,Domicile,Total Non-UK,910
AA School of Architecture,England,All,All,Total,Total,1010
AA School of Architecture,England,All,Full-time,Total,Total,1010
The University of Aberdeen,Scotland,All,All,Domicile,Total Non-UK,4690
The University of Aberdeen,Scotland,All,All,Total,Total,16565
The University of Aberdeen,Scotland,All,Full-time,Total,Total,12975
The University of Aberdeen,Scotland,All,Part-time,Total,Total,3590
Abertay University,Scotland,All,All,Domicile,Total Non-UK,600
Abertay University,Scotland,All,All,Total,Total,4790
Abertay University,Scotland,All,Full-time,Total,Total,4095
Abertay University,Scotland,All,Part-time,Total,Total,690
Aberystwyth University,Wales,All,All,Domicile,Total Non-UK,1345
Aberystwyth University,Wales,All,All,Total,Total,7845
Aberystwyth University,Wales,All,Full-time,Total,Total,6040
Aberystwyth University,Wales,All,Part-time,Total,Total,1800
ACM Guildford Limited,England,All,All,Domicile,Total Non-UK,40
ACM Guildford Limited,England,All,All,Total,Total,960
ACM Guildford Limited,England,All,Full-time,Total,Total,960
ACM Guildford Limited,England,All,Part-time,Total,Total,5
AECC University College,England,All,All,Domicile,Total Non-UK,320
AECC University College,England,All,All,Total,Total,1035
AECC University College,England,All,Full-time,Total,Total,910
AECC University College,England,All,Part-time,Total,Total,125
Amity Global Education,England,All,All,Domicile,Total Non-UK,5
Amity Global Education,England,All,All,Total,Total,60
Amity Global Education,England,All,Full-time,Total,Total,60
Amity Global Education,England,All,Part-time,Total,Total,0
Anglia Ruskin University,England,All,All,Domicile,Total Non-UK,7170
Anglia Ruskin University,England,All,All,Total,Total,35195
Anglia Ruskin University,England,All,Full-time,Total,Total,28325
Anglia Ruskin University,England,All,Part-time,Total,Total,6870
Apex College London,England,All,All,Domicile,Total Non-UK,0
Apex College London,England,All,All,Total,Total,430
Apex College London,England,All,Full-time,Total,Total,430
Applied Business Academy Limited,England,All,All,Domicile,Total Non-UK,0
Applied Business Academy Limited,England,All,All,Total,Total,920
Applied Business Academy Limited,England,All,Full-time,Total,Total,920
Arden University,England,All,All,Domicile,Total Non-UK,70
Arden University,England,All,All,Total,Total,15120
Arden University,England,All,Full-time,Total,Total,10705
Arden University,England,All,Part-time,Total,Total,4415
Arts Educational Schools,England,All,All,Domicile,Total Non-UK,45
Arts Educational Schools,England,All,All,Total,Total,345
Arts Educational Schools,England,All,Full-time,Total,Total,345
The Ashridge (Bonar Law Memorial) Trust,England,All,All,Domicile,Total Non-UK,60
The Ashridge (Bonar Law Memorial) Trust,England,All,All,Total,Total,995
The Ashridge (Bonar Law Memorial) Trust,England,All,Part-time,Total,Total,995
Hult International Business School Ltd,England,All,All,Domicile,Total Non-UK,1515
Hult International Business School Ltd,England,All,All,Total,Total,1660
Hult International Business School Ltd,England,All,Full-time,Total,Total,1505
Hult International Business School Ltd,England,All,Part-time,Total,Total,155
Aston University,England,All,All,Domicile,Total Non-UK,3065
Aston University,England,All,All,Total,Total,17595
Aston University,England,All,Full-time,Total,Total,13945
Aston University,England,All,Part-time,Total,Total,3655
British Academy of Jewellery Limited,England,All,All,Domicile,Total Non-UK,0
British Academy of Jewellery Limited,England,All,All,Total,Total,205
British Academy of Jewellery Limited,England,All,Full-time,Total,Total,205
Bangor University,Wales,All,All,Domicile,Total Non-UK,2325
Bangor University,Wales,All,All,Total,Total,10505
Bangor University,Wales,All,Full-time,Total,Total,8870
Bangor University,Wales,All,Part-time,Total,Total,1635
Bath Spa University,England,All,All,Domicile,Total Non-UK,550
Bath Spa University,England,All,All,Total,Total,13240
Bath Spa University,England,All,Full-time,Total,Total,11750
Bath Spa University,England,All,Part-time,Total,Total,1490
The University of Bath,England,All,All,Domicile,Total Non-UK,4765
The University of Bath,England,All,All,Total,Total,18890
The University of Bath,England,All,Full-time,Total,Total,16720
The University of Bath,England,All,Part-time,Total,Total,2170
Backstage Academy (Training) Ltd,England,All,All,Domicile,Total Non-UK,0
Backstage Academy (Training) Ltd,England,All,All,Total,Total,195
Backstage Academy (Training) Ltd,England,All,Full-time,Total,Total,190
Backstage Academy (Training) Ltd,England,All,Part-time,Total,Total,0
University of Bedfordshire,England,All,All,Domicile,Total Non-UK,6035
University of Bedfordshire,England,All,All,Total,Total,16430
University of Bedfordshire,England,All,Full-time,Total,Total,13985
University of Bedfordshire,England,All,Part-time,Total,Total,2445
Queen's University Belfast,Northern Ireland,All,All,Domicile,Total Non-UK,5175
Queen's University Belfast,Northern Ireland,All,All,Total,Total,25295
Queen's University Belfast,Northern Ireland,All,Full-time,Total,Total,21340
Queen's University Belfast,Northern Ireland,All,Part-time,Total,Total,3955
BIMM University,England,All,All,Domicile,Total Non-UK,780
BIMM University,England,All,All,Total,Total,7045
BIMM University,England,All,Full-time,Total,Total,6910
BIMM University,England,All,Part-time,Total,Total,135
Birkbeck College,England,All,All,Domicile,Total Non-UK,1410
Birkbeck College,England,All,All,Total,Total,10660
Birkbeck College,England,All,Full-time,Total,Total,4400
Birkbeck College,England,All,Part-time,Total,Total,6255
Birmingham City University,England,All,All,Domicile,Total Non-UK,4840
Birmingham City University,England,All,All,Total,Total,30285
Birmingham City University,England,All,Full-time,Total,Total,25785
Birmingham City University,England,All,Part-time,Total,Total,4500
The University of Birmingham,England,All,All,Domicile,Total Non-UK,9555
The University of Birmingham,England,All,All,Total,Total,37990
The University of Birmingham,England,All,Full-time,Total,Total,32110
The University of Birmingham,England,All,Part-time,Total,Total,5880
University College Birmingham,England,All,All,Domicile,Total Non-UK,1215
University College Birmingham,England,All,All,Total,Total,5170
University College Birmingham,England,All,Full-time,Total,Total,4580
University College Birmingham,England,All,Part-time,Total,Total,590
Bristol Baptist College,England,All,All,Domicile,Total Non-UK,5
Bristol Baptist College,England,All,All,Total,Total,70
Bristol Baptist College,England,All,Full-time,Total,Total,10
Bristol Baptist College,England,All,Part-time,Total,Total,60
Bishop Grosseteste University,England,All,All,Domicile,Total Non-UK,55
Bishop Grosseteste University,England,All,All,Total,Total,2370
Bishop Grosseteste University,England,All,Full-time,Total,Total,2065
Bishop Grosseteste University,England,All,Part-time,Total,Total,305
Bloomsbury Institute,England,All,All,Domicile,Total Non-UK,315
Bloomsbury Institute,England,All,All,Total,Total,1095
Bloomsbury Institute,England,All,Full-time,Total,Total,1095
The University of Bolton,England,All,All,Domicile,Total Non-UK,1740
The University of Bolton,England,All,All,Total,Total,10995
The University of Bolton,England,All,Full-time,Total,Total,9260
The University of Bolton,England,All,Part-time,Total,Total,1735
The Arts University Bournemouth,England,All,All,Domicile,Total Non-UK,580
The Arts University Bournemouth,England,All,All,Total,Total,3725
The Arts University Bournemouth,England,All,Full-time,Total,Total,3665
The Arts University Bournemouth,England,All,Part-time,Total,Total,65
Bournemouth University,England,All,All,Domicile,Total Non-UK,2780
Bournemouth University,England,All,All,Total,Total,17960
Bournemouth University,England,All,Full-time,Total,Total,15250
Bournemouth University,England,All,Part-time,Total,Total,2710
BPP University,England,All,All,Domicile,Total Non-UK,8525
BPP University,England,All,All,Total,Total,15910
BPP University,England,All,Full-time,Total,Total,12815
BPP University,England,All,Part-time,Total,Total,3095
The University of Bradford,England,All,All,Domicile,Total Non-UK,3355
The University of Bradford,England,All,All,Total,Total,11885
The University of Bradford,England,All,Full-time,Total,Total,10325
The University of Bradford,England,All,Part-time,Total,Total,1560
The University of Brighton,England,All,All,Domicile,Total Non-UK,2395
The University of Brighton,England,All,All,Total,Total,17835
The University of Brighton,England,All,Full-time,Total,Total,14280
The University of Brighton,England,All,Part-time,Total,Total,3555
The University College of Osteopathy,England,All,All,Domicile,Total Non-UK,45
The University College of Osteopathy,England,All,All,Total,Total,475
The University College of Osteopathy,England,All,Full-time,Total,Total,245
The University College of Osteopathy,England,All,Part-time,Total,Total,225
The University of Bristol,England,All,All,Domicile,Total Non-UK,8975
The University of Bristol,England,All,All,Total,Total,31485
The University of Bristol,England,All,Full-time,Total,Total,29520
The University of Bristol,England,All,Part-time,Total,Total,1960
Brit College,England,All,All,Domicile,Total Non-UK,0
Brit College,England,All,All,Total,Total,15
Brit College,England,All,Full-time,Total,Total,15
Trinity College Bristol,England,All,All,Domicile,Total Non-UK,10
Trinity College Bristol,England,All,All,Total,Total,160
Trinity College Bristol,England,All,Full-time,Total,Total,90
Trinity College Bristol,England,All,Part-time,Total,Total,70
Brunel University London,England,All,All,Domicile,Total Non-UK,7010
Brunel University London,England,All,All,Total,Total,18655
Brunel University London,England,All,Full-time,Total,Total,16940
Brunel University London,England,All,Part-time,Total,Total,1715
Buckinghamshire New University,England,All,All,Domicile,Total Non-UK,1775
Buckinghamshire New University,England,All,All,Total,Total,20570
Buckinghamshire New University,England,All,Full-time,Total,Total,17695
Buckinghamshire New University,England,All,Part-time,Total,Total,2875
The University of Buckingham,England,All,All,Domicile,Total Non-UK,1095
The University of Buckingham,England,All,All,Total,Total,3430
The University of Buckingham,England,All,Full-time,Total,Total,2690
The University of Buckingham,England,All,Part-time,Total,Total,740
Cambridge Arts and Sciences Limited,England,All,All,Domicile,Total Non-UK,70
Cambridge Arts and Sciences Limited,England,All,All,Total,Total,120
Cambridge Arts and Sciences Limited,England,All,Full-time,Total,Total,120
The University of Cambridge,England,All,All,Domicile,Total Non-UK,7205
The University of Cambridge,England,All,All,Total,Total,22610
The University of Cambridge,England,All,Full-time,Total,Total,20400
The University of Cambridge,England,All,Part-time,Total,Total,2210
The Cambridge Theological Federation,England,All,All,Domicile,Total Non-UK,5
The Cambridge Theological Federation,England,All,All,Total,Total,145
The Cambridge Theological Federation,England,All,Full-time,Total,Total,90
The Cambridge Theological Federation,England,All,Part-time,Total,Total,60
The Institute of Cancer Research,England,All,All,Domicile,Total Non-UK,40
The Institute of Cancer Research,England,All,All,Total,Total,365
The Institute of Cancer Research,England,All,Full-time,Total,Total,145
The Institute of Cancer Research,England,All,Part-time,Total,Total,215
Canterbury Christ Church University,England,All,All,Domicile,Total Non-UK,795
Canterbury Christ Church University,England,All,All,Total,Total,24660
Canterbury Christ Church University,England,All,Full-time,Total,Total,21075
Canterbury Christ Church University,England,All,Part-time,Total,Total,3585
Cardiff University,Wales,All,All,Domicile,Total Non-UK,7530
Cardiff University,Wales,All,All,Total,Total,33985
Cardiff University,Wales,All,Full-time,Total,Total,28615
Cardiff University,Wales,All,Part-time,Total,Total,5375
Cardiff Metropolitan University,Wales,All,All,Domicile,Total Non-UK,2910
Cardiff Metropolitan University,Wales,All,All,Total,Total,12620
Cardiff Metropolitan University,Wales,All,Full-time,Total,Total,11530
Cardiff Metropolitan University,Wales,All,Part-time,Total,Total,1090
CEG UFP Limited,England,All,All,Domicile,Total Non-UK,795
CEG UFP Limited,England,All,All,Total,Total,805
CEG UFP Limited,England,All,Full-time,Total,Total,710
CEG UFP Limited,England,All,Part-time,Total,Total,95
The University of Central Lancashire,England,All,All,Domicile,Total Non-UK,6715
The University of Central Lancashire,England,All,All,Total,Total,28325
The University of Central Lancashire,England,All,Full-time,Total,Total,22065
The University of Central Lancashire,England,All,Part-time,Total,Total,6260
Central Film School London,England,All,All,Domicile,Total Non-UK,25
Central Film School London,England,All,All,Total,Total,125
Central Film School London,England,All,Full-time,Total,Total,120
Central Film School London,England,All,Part-time,Total,Total,0
University of Chester,England,All,All,Domicile,Total Non-UK,2630
University of Chester,England,All,All,Total,Total,14325
University of Chester,England,All,Full-time,Total,Total,11180
University of Chester,England,All,Part-time,Total,Total,3145
The University of Chichester,England,All,All,Domicile,Total Non-UK,250
The University of Chichester,England,All,All,Total,Total,5985
The University of Chichester,England,All,Full-time,Total,Total,4840
The University of Chichester,England,All,Part-time,Total,Total,1145
Chicken Shed Theatre Company,England,All,All,Domicile,Total Non-UK,0
Chicken Shed Theatre Company,England,All,All,Total,Total,85
Chicken Shed Theatre Company,England,All,Full-time,Total,Total,85
