HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
anglia ruskin university,all,All postgraduate,full-time,total,total,1490
anglia ruskin university,all,All postgraduate,part-time,total,total,1630
anglia ruskin university,all,All postgraduate,all,domicile,total uk,2060
anglia ruskin university,all,All postgraduate,all,domicile,total non-uk,1060
anglia ruskin university,all,All postgraduate,all,total,total,3120
anglia ruskin university,all,All undergraduate,full-time,total,total,11330
anglia ruskin university,all,All undergraduate,part-time,total,total,7600
anglia ruskin university,all,All undergraduate,all,domicile,total uk,16405
anglia ruskin university,all,All undergraduate,all,domicile,total non-uk,2525
anglia ruskin university,all,All undergraduate,all,total,total,18930
anglia ruskin university,all,all,all,total,total,22050
anglia ruskin university,all,all,full-time,total,total,12820
anglia ruskin university,all,all,part-time,total,total,9230
anglia ruskin university,all,all,all,domicile,total uk,18465
anglia ruskin university,all,all,all,domicile,total non-uk,3585
aston university,all,All postgraduate,full-time,total,total,1950
aston university,all,All postgraduate,part-time,total,total,875
aston university,all,All postgraduate,all,domicile,total uk,1235
aston university,all,All postgraduate,all,domicile,total non-uk,1590
aston university,all,All postgraduate,all,total,total,2825
aston university,all,All undergraduate,full-time,total,total,7415
aston university,all,All undergraduate,part-time,total,total,660
aston university,all,All undergraduate,all,domicile,total uk,6355
aston university,all,All undergraduate,all,domicile,total non-uk,1720
aston university,all,All undergraduate,all,total,total,8075
aston university,all,all,all,total,total,10900
aston university,all,all,full-time,total,total,9365
aston university,all,all,part-time,total,total,1535
aston university,all,all,all,domicile,total uk,7590
aston university,all,all,all,domicile,total non-uk,3310
bath spa university,all,All postgraduate,full-time,total,total,735
bath spa university,all,All postgraduate,part-time,total,total,2435
bath spa university,all,All postgraduate,all,domicile,total uk,3115
bath spa university,all,All postgraduate,all,domicile,total non-uk,55
bath spa university,all,All postgraduate,all,total,total,3170
bath spa university,all,All undergraduate,full-time,total,total,5120
bath spa university,all,All undergraduate,part-time,total,total,510
bath spa university,all,All undergraduate,all,domicile,total uk,5460
