HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,2247440
all,all,All postgraduate,all,total,total,523825
all,all,All postgraduate,full-time,total,total,220395
all,all,All postgraduate,part-time,total,total,303435
all,all,All postgraduate,all,domicile,total uk,367275
all,all,All postgraduate,all,domicile,total non-uk,156550
all,all,All undergraduate,all,total,total,1723615
all,all,All undergraduate,full-time,total,total,1141850
all,all,All undergraduate,part-time,total,total,581760
all,all,All undergraduate,all,domicile,total uk,1580110
all,all,All undergraduate,all,domicile,total non-uk,143500
all,all,all,full-time,total,total,1362245
all,all,all,part-time,total,total,885195
all,all,all,all,domicile,total uk,1947385
all,all,all,all,domicile,total non-uk,300050
total,england,all,all,total,total,1868415
total,england,All postgraduate,all,total,total,439985
total,england,All postgraduate,full-time,total,total,186550
total,england,All postgraduate,part-time,total,total,253440
total,england,All postgraduate,all,domicile,total uk,306785
total,england,All postgraduate,all,domicile,total non-uk,133200
total,england,All undergraduate,all,total,total,1428430
total,england,All undergraduate,full-time,total,total,924990
total,england,All undergraduate,part-time,total,total,503440
total,england,All undergraduate,all,domicile,total uk,1307160
total,england,All undergraduate,all,domicile,total non-uk,121265
total,england,all,full-time,total,total,1111540
total,england,all,part-time,total,total,756880
total,england,all,all,domicile,total uk,1613945
total,england,all,all,domicile,total non-uk,254465
anglia polytechnic university,england,all,all,total,total,24315
anglia polytechnic university,england,All postgraduate,all,total,total,4100
anglia polytechnic university,england,All postgraduate,full-time,total,total,705
anglia polytechnic university,england,All postgraduate,part-time,total,total,3395
anglia polytechnic university,england,All postgraduate,all,domicile,total uk,3230
anglia polytechnic university,england,All postgraduate,all,domicile,total non-uk,875
anglia polytechnic university,england,All undergraduate,all,total,total,20210
anglia polytechnic university,england,All undergraduate,full-time,total,total,9855
anglia polytechnic university,england,All undergraduate,part-time,total,total,10360
anglia polytechnic university,england,All undergraduate,all,domicile,total uk,18605
anglia polytechnic university,england,All undergraduate,all,domicile,total non-uk,1610
anglia polytechnic university,england,all,full-time,total,total,10560
anglia polytechnic university,england,all,part-time,total,total,13755
anglia polytechnic university,england,all,all,domicile,total uk,21835
anglia polytechnic university,england,all,all,domicile,total non-uk,2485
aston university,england,all,all,total,total,7940
aston university,england,All postgraduate,all,total,total,2165
aston university,england,All postgraduate,full-time,total,total,645
aston university,england,All postgraduate,part-time,total,total,1520
aston university,england,All postgraduate,all,domicile,total uk,1280
aston university,england,All postgraduate,all,domicile,total non-uk,880
aston university,england,All undergraduate,all,total,total,5775
aston university,england,All undergraduate,full-time,total,total,5575
aston university,england,All undergraduate,part-time,total,total,200
aston university,england,All undergraduate,all,domicile,total uk,5225
aston university,england,All undergraduate,all,domicile,total non-uk,550
aston university,england,all,full-time,total,total,6220
aston university,england,all,part-time,total,total,1720
aston university,england,all,all,domicile,total uk,6505
aston university,england,all,all,domicile,total non-uk,1430
bath spa university college,england,all,all,total,total,5825
bath spa university college,england,All postgraduate,all,total,total,1790
bath spa university college,england,All postgraduate,full-time,total,total,730
bath spa university college,england,All postgraduate,part-time,total,total,1060
bath spa university college,england,All postgraduate,all,domicile,total uk,1750
bath spa university college,england,All postgraduate,all,domicile,total non-uk,40
bath spa university college,england,All undergraduate,all,total,total,4035
bath spa university college,england,All undergraduate,full-time,total,total,3660
bath spa university college,england,All undergraduate,part-time,total,total,375
bath spa university college,england,All undergraduate,all,domicile,total uk,3825
bath spa university college,england,All undergraduate,all,domicile,total non-uk,210
bath spa university college,england,all,full-time,total,total,4390
bath spa university college,england,all,part-time,total,total,1435
bath spa university college,england,all,all,domicile,total uk,5575
bath spa university college,england,all,all,domicile,total non-uk,250
the university of bath,england,all,all,total,total,13855
the university of bath,england,All postgraduate,all,total,total,4355
the university of bath,england,All postgraduate,full-time,total,total,1330
the university of bath,england,All postgraduate,part-time,total,total,3020
the university of bath,england,All postgraduate,all,domicile,total uk,2540
the university of bath,england,All postgraduate,all,domicile,total non-uk,1810
the university of bath,england,All undergraduate,all,total,total,9505
the university of bath,england,All undergraduate,full-time,total,total,7515
the university of bath,england,All undergraduate,part-time,total,total,1985
the university of bath,england,All undergraduate,all,domicile,total uk,8405
the university of bath,england,All undergraduate,all,domicile,total non-uk,1100
the university of bath,england,all,full-time,total,total,8845
the university of bath,england,all,part-time,total,total,5005
the university of bath,england,all,all,domicile,total uk,10945
the university of bath,england,all,all,domicile,total non-uk,2910
birkbeck college,england,all,all,total,total,16645
birkbeck college,england,All postgraduate,all,total,total,4560
birkbeck college,england,All postgraduate,full-time,total,total,945
birkbeck college,england,All postgraduate,part-time,total,total,3615
birkbeck college,england,All postgraduate,all,domicile,total uk,4080
birkbeck college,england,All postgraduate,all,domicile,total non-uk,480
birkbeck college,england,All undergraduate,all,total,total,12085
birkbeck college,england,All undergraduate,full-time,total,total,5
birkbeck college,england,All undergraduate,part-time,total,total,12080
