HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,2175115
all,all,All postgraduate,all,total,total,497500
all,all,All postgraduate,full-time,total,total,206755
all,all,All postgraduate,part-time,total,total,290745
all,all,All postgraduate,all,domicile,total uk,357335
all,all,All postgraduate,all,domicile,total non-uk,140165
all,all,All undergraduate,all,total,total,1677615
all,all,All undergraduate,full-time,total,total,1111310
all,all,All undergraduate,part-time,total,total,566305
all,all,All undergraduate,all,domicile,total uk,1542515
all,all,All undergraduate,all,domicile,total non-uk,135100
all,all,all,full-time,total,total,1318065
all,all,all,part-time,total,total,857050
all,all,all,all,domicile,total uk,1899850
all,all,all,all,domicile,total non-uk,275265
total,england,all,all,total,total,1807660
total,england,All postgraduate,all,total,total,416745
total,england,All postgraduate,full-time,total,total,173575
total,england,All postgraduate,part-time,total,total,243170
total,england,All postgraduate,all,domicile,total uk,297760
total,england,All postgraduate,all,domicile,total non-uk,118985
total,england,All undergraduate,all,total,total,1390915
total,england,All undergraduate,full-time,total,total,898595
total,england,All undergraduate,part-time,total,total,492320
total,england,All undergraduate,all,domicile,total uk,1276700
total,england,All undergraduate,all,domicile,total non-uk,114215
total,england,all,full-time,total,total,1072170
total,england,all,part-time,total,total,735490
total,england,all,all,domicile,total uk,1574460
total,england,all,all,domicile,total non-uk,233200
anglia polytechnic university,england,all,all,total,total,25420
anglia polytechnic university,england,All postgraduate,all,total,total,3675
anglia polytechnic university,england,All postgraduate,full-time,total,total,710
anglia polytechnic university,england,All postgraduate,part-time,total,total,2965
anglia polytechnic university,england,All postgraduate,all,domicile,total uk,3045
anglia polytechnic university,england,All postgraduate,all,domicile,total non-uk,630
anglia polytechnic university,england,All undergraduate,all,total,total,21740
anglia polytechnic university,england,All undergraduate,full-time,total,total,9985
anglia polytechnic university,england,All undergraduate,part-time,total,total,11755
anglia polytechnic university,england,All undergraduate,all,domicile,total uk,20165
anglia polytechnic university,england,All undergraduate,all,domicile,total non-uk,1575
anglia polytechnic university,england,all,full-time,total,total,10695
anglia polytechnic university,england,all,part-time,total,total,14720
anglia polytechnic university,england,all,all,domicile,total uk,23210
anglia polytechnic university,england,all,all,domicile,total non-uk,2205
aston university,england,all,all,total,total,7590
aston university,england,All postgraduate,all,total,total,2165
aston university,england,All postgraduate,full-time,total,total,595
aston university,england,All postgraduate,part-time,total,total,1570
aston university,england,All postgraduate,all,domicile,total uk,1425
aston university,england,All postgraduate,all,domicile,total non-uk,740
aston university,england,All undergraduate,all,total,total,5420
aston university,england,All undergraduate,full-time,total,total,5260
aston university,england,All undergraduate,part-time,total,total,160
aston university,england,All undergraduate,all,domicile,total uk,5020
aston university,england,All undergraduate,all,domicile,total non-uk,405
aston university,england,all,full-time,total,total,5855
aston university,england,all,part-time,total,total,1730
aston university,england,all,all,domicile,total uk,6445
aston university,england,all,all,domicile,total non-uk,1145
bath spa university college,england,all,all,total,total,4705
bath spa university college,england,All postgraduate,all,total,total,1215
bath spa university college,england,All postgraduate,full-time,total,total,630
bath spa university college,england,All postgraduate,part-time,total,total,585
bath spa university college,england,All postgraduate,all,domicile,total uk,1190
bath spa university college,england,All postgraduate,all,domicile,total non-uk,25
bath spa university college,england,All undergraduate,all,total,total,3490
bath spa university college,england,All undergraduate,full-time,total,total,3220
bath spa university college,england,All undergraduate,part-time,total,total,270
bath spa university college,england,All undergraduate,all,domicile,total uk,3320
bath spa university college,england,All undergraduate,all,domicile,total non-uk,170
bath spa university college,england,all,full-time,total,total,3850
bath spa university college,england,all,part-time,total,total,855
bath spa university college,england,all,all,domicile,total uk,4510
bath spa university college,england,all,all,domicile,total non-uk,195
the university of bath,england,all,all,total,total,13755
the university of bath,england,All postgraduate,all,total,total,4180
the university of bath,england,All postgraduate,full-time,total,total,1330
the university of bath,england,All postgraduate,part-time,total,total,2850
the university of bath,england,All postgraduate,all,domicile,total uk,2440
the university of bath,england,All postgraduate,all,domicile,total non-uk,1740
the university of bath,england,All undergraduate,all,total,total,9575
the university of bath,england,All undergraduate,full-time,total,total,7155
the university of bath,england,All undergraduate,part-time,total,total,2425
the university of bath,england,All undergraduate,all,domicile,total uk,8760
