HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
anglia ruskin university,all,All postgraduate,full-time,total,total,1800
anglia ruskin university,all,All postgraduate,part-time,total,total,1625
anglia ruskin university,all,All postgraduate,all,domicile,total uk,2260
anglia ruskin university,all,All postgraduate,all,domicile,total non-uk,1160
anglia ruskin university,all,All postgraduate,all,total,total,3420
anglia ruskin university,all,All undergraduate,full-time,total,total,13210
anglia ruskin university,all,All undergraduate,part-time,total,total,4440
anglia ruskin university,all,All undergraduate,all,domicile,total uk,15570
anglia ruskin university,all,All undergraduate,all,domicile,total non-uk,2080
anglia ruskin university,all,All undergraduate,all,total,total,17650
anglia ruskin university,all,all,all,total,total,21070
anglia ruskin university,all,all,full-time,total,total,15010
anglia ruskin university,all,all,part-time,total,total,6065
anglia ruskin university,all,all,all,domicile,total uk,17830
anglia ruskin university,all,all,all,domicile,total non-uk,3240
aston university,all,All postgraduate,full-time,total,total,1335
aston university,all,All postgraduate,part-time,total,total,780
aston university,all,All postgraduate,all,domicile,total uk,1050
aston university,all,All postgraduate,all,domicile,total non-uk,1065
aston university,all,All postgraduate,all,total,total,2115
aston university,all,All undergraduate,full-time,total,total,7280
aston university,all,All undergraduate,part-time,total,total,595
aston university,all,All undergraduate,all,domicile,total uk,6170
aston university,all,All undergraduate,all,domicile,total non-uk,1705
aston university,all,All undergraduate,all,total,total,7875
aston university,all,all,all,total,total,9995
aston university,all,all,full-time,total,total,8615
aston university,all,all,part-time,total,total,1375
aston university,all,all,all,domicile,total uk,7220
aston university,all,all,all,domicile,total non-uk,2770
bath spa university,all,All postgraduate,full-time,total,total,810
bath spa university,all,All postgraduate,part-time,total,total,1690
bath spa university,all,All postgraduate,all,domicile,total uk,2395
bath spa university,all,All postgraduate,all,domicile,total non-uk,105
bath spa university,all,All postgraduate,all,total,total,2500
bath spa university,all,All undergraduate,full-time,total,total,5120
bath spa university,all,All undergraduate,part-time,total,total,245
bath spa university,all,All undergraduate,all,domicile,total uk,5205
bath spa university,all,All undergraduate,all,domicile,total non-uk,160
