HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,1845757
all,all,All postgraduate,full-time,total,total,146367
all,all,All postgraduate,part-time,total,total,256973
all,all,All postgraduate,all,domicile,total uk,314562
all,all,All postgraduate,all,domicile,total non-uk,88778
all,all,All undergraduate,full-time,total,total,1032897
all,all,All undergraduate,part-time,total,total,409520
all,all,All undergraduate,all,domicile,total uk,1311910
all,all,All undergraduate,all,domicile,total non-uk,130507
all,all,All postgraduate,all,total,total,403340
all,all,All undergraduate,all,total,total,1442417
all,all,all,full-time,total,total,1179264
all,all,all,part-time,total,total,666493
all,all,all,all,domicile,total uk,1626472
all,all,all,all,domicile,total non-uk,219285
total,england,all,all,total,total,1533582
total,england,All postgraduate,full-time,total,total,121140
total,england,All postgraduate,part-time,total,total,216614
total,england,All postgraduate,all,domicile,total uk,264246
total,england,All postgraduate,all,domicile,total non-uk,73508
total,england,All undergraduate,full-time,total,total,835526
total,england,All undergraduate,part-time,total,total,360302
total,england,All undergraduate,all,domicile,total uk,1087729
total,england,All undergraduate,all,domicile,total non-uk,108099
total,england,All postgraduate,all,total,total,337754
total,england,All undergraduate,all,total,total,1195828
total,england,all,full-time,total,total,956666
total,england,all,part-time,total,total,576916
total,england,all,all,domicile,total uk,1351975
total,england,all,all,domicile,total non-uk,181607
anglia polytechnic university,england,all,all,total,total,18577
anglia polytechnic university,england,All postgraduate,full-time,total,total,412
anglia polytechnic university,england,All postgraduate,part-time,total,total,2280
anglia polytechnic university,england,All postgraduate,all,domicile,total uk,2312
anglia polytechnic university,england,All postgraduate,all,domicile,total non-uk,380
anglia polytechnic university,england,All undergraduate,full-time,total,total,10181
anglia polytechnic university,england,All undergraduate,part-time,total,total,5704
anglia polytechnic university,england,All undergraduate,all,domicile,total uk,13909
anglia polytechnic university,england,All undergraduate,all,domicile,total non-uk,1976
anglia polytechnic university,england,All postgraduate,all,total,total,2692
anglia polytechnic university,england,All undergraduate,all,total,total,15885
anglia polytechnic university,england,all,full-time,total,total,10593
anglia polytechnic university,england,all,part-time,total,total,7984
anglia polytechnic university,england,all,all,domicile,total uk,16221
anglia polytechnic university,england,all,all,domicile,total non-uk,2356
aston university,england,all,all,total,total,6384
aston university,england,All postgraduate,full-time,total,total,441
aston university,england,All postgraduate,part-time,total,total,1068
aston university,england,All postgraduate,all,domicile,total uk,1006
aston university,england,All postgraduate,all,domicile,total non-uk,503
aston university,england,All undergraduate,full-time,total,total,4857
aston university,england,All undergraduate,part-time,total,total,18
aston university,england,All undergraduate,all,domicile,total uk,4501
aston university,england,All undergraduate,all,domicile,total non-uk,374
aston university,england,All postgraduate,all,total,total,1509
aston university,england,All undergraduate,all,total,total,4875
aston university,england,all,full-time,total,total,5298
aston university,england,all,part-time,total,total,1086
aston university,england,all,all,domicile,total uk,5507
aston university,england,all,all,domicile,total non-uk,877
bath spa university college,england,all,all,total,total,3365
bath spa university college,england,All postgraduate,full-time,total,total,325
bath spa university college,england,All postgraduate,part-time,total,total,764
bath spa university college,england,All postgraduate,all,domicile,total uk,1074
bath spa university college,england,All postgraduate,all,domicile,total non-uk,15
bath spa university college,england,All undergraduate,full-time,total,total,2201
bath spa university college,england,All undergraduate,part-time,total,total,75
bath spa university college,england,All undergraduate,all,domicile,total uk,2115
bath spa university college,england,All undergraduate,all,domicile,total non-uk,161
bath spa university college,england,All postgraduate,all,total,total,1089
bath spa university college,england,All undergraduate,all,total,total,2276
bath spa university college,england,all,full-time,total,total,2526
bath spa university college,england,all,part-time,total,total,839
bath spa university college,england,all,all,domicile,total uk,3189
bath spa university college,england,all,all,domicile,total non-uk,176
the university of bath,england,all,all,total,total,8681
the university of bath,england,All postgraduate,full-time,total,total,1063
the university of bath,england,All postgraduate,part-time,total,total,2288
the university of bath,england,All postgraduate,all,domicile,total uk,2099
the university of bath,england,All postgraduate,all,domicile,total non-uk,1252
the university of bath,england,All undergraduate,full-time,total,total,5330
the university of bath,england,All undergraduate,part-time,total,total,0
the university of bath,england,All undergraduate,all,domicile,total uk,4688
the university of bath,england,All undergraduate,all,domicile,total non-uk,642
the university of bath,england,All postgraduate,all,total,total,3351
the university of bath,england,All undergraduate,all,total,total,5330
the university of bath,england,all,full-time,total,total,6393
the university of bath,england,all,part-time,total,total,2288
the university of bath,england,all,all,domicile,total uk,6787
the university of bath,england,all,all,domicile,total non-uk,1894
birkbeck college,england,all,all,total,total,12607
birkbeck college,england,All postgraduate,full-time,total,total,439
birkbeck college,england,All postgraduate,part-time,total,total,2250
birkbeck college,england,All postgraduate,all,domicile,total uk,2478
birkbeck college,england,All postgraduate,all,domicile,total non-uk,211
birkbeck college,england,All undergraduate,full-time,total,total,14
birkbeck college,england,All undergraduate,part-time,total,total,9904
birkbeck college,england,All undergraduate,all,domicile,total uk,9876
birkbeck college,england,All undergraduate,all,domicile,total non-uk,42
birkbeck college,england,All postgraduate,all,total,total,2689
birkbeck college,england,All undergraduate,all,total,total,9918
birkbeck college,england,all,full-time,total,total,453
birkbeck college,england,all,part-time,total,total,12154
birkbeck college,england,all,all,domicile,total uk,12354
birkbeck college,england,all,all,domicile,total non-uk,253
the university of birmingham,england,all,all,total,total,23608
the university of birmingham,england,All postgraduate,full-time,total,total,3338
the university of birmingham,england,All postgraduate,part-time,total,total,4420
the university of birmingham,england,All postgraduate,all,domicile,total uk,5739
the university of birmingham,england,All postgraduate,all,domicile,total non-uk,2019
the university of birmingham,england,All undergraduate,full-time,total,total,13356
the university of birmingham,england,All undergraduate,part-time,total,total,2494
the university of birmingham,england,All undergraduate,all,domicile,total uk,14389
the university of birmingham,england,All undergraduate,all,domicile,total non-uk,1461
the university of birmingham,england,All postgraduate,all,total,total,7758
the university of birmingham,england,All undergraduate,all,total,total,15850
the university of birmingham,england,all,full-time,total,total,16694
the university of birmingham,england,all,part-time,total,total,6914
the university of birmingham,england,all,all,domicile,total uk,20128
the university of birmingham,england,all,all,domicile,total non-uk,3480
bishop grosseteste college,england,all,all,total,total,956
bishop grosseteste college,england,All postgraduate,full-time,total,total,43
bishop grosseteste college,england,All postgraduate,part-time,total,total,169
bishop grosseteste college,england,All postgraduate,all,domicile,total uk,193
bishop grosseteste college,england,All postgraduate,all,domicile,total non-uk,19
bishop grosseteste college,england,All undergraduate,full-time,total,total,744
bishop grosseteste college,england,All undergraduate,part-time,total,total,0
bishop grosseteste college,england,All undergraduate,all,domicile,total uk,743
bishop grosseteste college,england,All undergraduate,all,domicile,total non-uk,1
bishop grosseteste college,england,All postgraduate,all,total,total,212
bishop grosseteste college,england,All undergraduate,all,total,total,744
bishop grosseteste college,england,all,full-time,total,total,787
bishop grosseteste college,england,all,part-time,total,total,169
bishop grosseteste college,england,all,all,domicile,total uk,936
bishop grosseteste college,england,all,all,domicile,total non-uk,20
bolton institute of higher education,england,all,all,total,total,6539
bolton institute of higher education,england,All postgraduate,full-time,total,total,303
bolton institute of higher education,england,All postgraduate,part-time,total,total,736
bolton institute of higher education,england,All postgraduate,all,domicile,total uk,1012
bolton institute of higher education,england,All postgraduate,all,domicile,total non-uk,27
bolton institute of higher education,england,All undergraduate,full-time,total,total,3625
bolton institute of higher education,england,All undergraduate,part-time,total,total,1875
bolton institute of higher education,england,All undergraduate,all,domicile,total uk,5067
bolton institute of higher education,england,All undergraduate,all,domicile,total non-uk,433
bolton institute of higher education,england,All postgraduate,all,total,total,1039
bolton institute of higher education,england,All undergraduate,all,total,total,5500
bolton institute of higher education,england,all,full-time,total,total,3928
bolton institute of higher education,england,all,part-time,total,total,2611
bolton institute of higher education,england,all,all,domicile,total uk,6079
bolton institute of higher education,england,all,all,domicile,total non-uk,460
bournemouth university,england,all,all,total,total,10788
bournemouth university,england,All postgraduate,full-time,total,total,665
bournemouth university,england,All postgraduate,part-time,total,total,756
bournemouth university,england,All postgraduate,all,domicile,total uk,1086
bournemouth university,england,All postgraduate,all,domicile,total non-uk,335
bournemouth university,england,All undergraduate,full-time,total,total,7684
bournemouth university,england,All undergraduate,part-time,total,total,1683
bournemouth university,england,All undergraduate,all,domicile,total uk,9024
bournemouth university,england,All undergraduate,all,domicile,total non-uk,343
bournemouth university,england,All postgraduate,all,total,total,1421
bournemouth university,england,All undergraduate,all,total,total,9367
bournemouth university,england,all,full-time,total,total,8349
bournemouth university,england,all,part-time,total,total,2439
bournemouth university,england,all,all,domicile,total uk,10110
bournemouth university,england,all,all,domicile,total non-uk,678
the university of bradford,england,all,all,total,total,11666
the university of bradford,england,All postgraduate,full-time,total,total,743
the university of bradford,england,All postgraduate,part-time,total,total,2394
the university of bradford,england,All postgraduate,all,domicile,total uk,2032
the university of bradford,england,All postgraduate,all,domicile,total non-uk,1105
the university of bradford,england,All undergraduate,full-time,total,total,6751
the university of bradford,england,All undergraduate,part-time,total,total,1778
the university of bradford,england,All undergraduate,all,domicile,total uk,7681
the university of bradford,england,All undergraduate,all,domicile,total non-uk,848
the university of bradford,england,All postgraduate,all,total,total,3137
the university of bradford,england,All undergraduate,all,total,total,8529
the university of bradford,england,all,full-time,total,total,7494
the university of bradford,england,all,part-time,total,total,4172
the university of bradford,england,all,all,domicile,total uk,9713
the university of bradford,england,all,all,domicile,total non-uk,1953
bretton hall college of he,england,all,all,total,total,2788
bretton hall college of he,england,All postgraduate,full-time,total,total,219
bretton hall college of he,england,All postgraduate,part-time,total,total,323
bretton hall college of he,england,All postgraduate,all,domicile,total uk,519
bretton hall college of he,england,All postgraduate,all,domicile,total non-uk,23
bretton hall college of he,england,All undergraduate,full-time,total,total,1916
bretton hall college of he,england,All undergraduate,part-time,total,total,330
bretton hall college of he,england,All undergraduate,all,domicile,total uk,2227
bretton hall college of he,england,All undergraduate,all,domicile,total non-uk,19
bretton hall college of he,england,All postgraduate,all,total,total,542
bretton hall college of he,england,All undergraduate,all,total,total,2246
bretton hall college of he,england,all,full-time,total,total,2135
bretton hall college of he,england,all,part-time,total,total,653
bretton hall college of he,england,all,all,domicile,total uk,2746
bretton hall college of he,england,all,all,domicile,total non-uk,42
the university of brighton,england,all,all,total,total,15606
the university of brighton,england,All postgraduate,full-time,total,total,897
the university of brighton,england,All postgraduate,part-time,total,total,1194
the university of brighton,england,All postgraduate,all,domicile,total uk,1815
the university of brighton,england,All postgraduate,all,domicile,total non-uk,276
the university of brighton,england,All undergraduate,full-time,total,total,10414
the university of brighton,england,All undergraduate,part-time,total,total,3101
the university of brighton,england,All undergraduate,all,domicile,total uk,11819
