HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
AA School of Architecture,England,All,All,Domicile,Total Non-UK,615
AA School of Architecture,England,All,All,Total,Total,710
AA School of Architecture,England,All,Full-time,Total,Total,710
The University of Aberdeen,Scotland,All,All,Domicile,Total Non-UK,4780
The University of Aberdeen,Scotland,All,All,Total,Total,14370
The University of Aberdeen,Scotland,All,Full-time,Total,Total,12425
The University of Aberdeen,Scotland,All,Part-time,Total,Total,1945
ABI College Limited,England,All,All,Domicile,Total Non-UK,0
ABI College Limited,England,All,All,Total,Total,105
ABI College Limited,England,All,Full-time,Total,Total,105
Abertay University,Scotland,All,All,Domicile,Total Non-UK,630
Abertay University,Scotland,All,All,Total,Total,4055
Abertay University,Scotland,All,Full-time,Total,Total,3645
Abertay University,Scotland,All,Part-time,Total,Total,410
Aberystwyth University,Wales,All,All,Domicile,Total Non-UK,1390
Aberystwyth University,Wales,All,All,Total,Total,8185
Aberystwyth University,Wales,All,Full-time,Total,Total,6650
Aberystwyth University,Wales,All,Part-time,Total,Total,1535
Access to Music Limited,England,All,All,Domicile,Total Non-UK,0
Access to Music Limited,England,All,All,Total,Total,45
Access to Music Limited,England,All,Full-time,Total,Total,45
Academy of Live and Recorded Arts,England,All,All,Domicile,Total Non-UK,10
Academy of Live and Recorded Arts,England,All,All,Total,Total,255
Academy of Live and Recorded Arts,England,All,Full-time,Total,Total,255
AECC University College,England,All,All,Domicile,Total Non-UK,175
AECC University College,England,All,All,Total,Total,435
AECC University College,England,All,Full-time,Total,Total,355
AECC University College,England,All,Part-time,Total,Total,80
Anglia Ruskin University,England,All,All,Domicile,Total Non-UK,3070
Anglia Ruskin University,England,All,All,Total,Total,23485
Anglia Ruskin University,England,All,Full-time,Total,Total,18820
Anglia Ruskin University,England,All,Part-time,Total,Total,4665
Apex College London,England,All,All,Domicile,Total Non-UK,0
Apex College London,England,All,All,Total,Total,50
Apex College London,England,All,Full-time,Total,Total,50
Arden University,England,All,All,Domicile,Total Non-UK,10
Arden University,England,All,All,Total,Total,3700
Arden University,England,All,Full-time,Total,Total,1615
Arden University,England,All,Part-time,Total,Total,2085
Arts Educational Schools,England,All,All,Domicile,Total Non-UK,20
Arts Educational Schools,England,All,All,Total,Total,280
Arts Educational Schools,England,All,Full-time,Total,Total,265
Arts Educational Schools,England,All,Part-time,Total,Total,20
Aston University,England,All,All,Domicile,Total Non-UK,2430
Aston University,England,All,All,Total,Total,14615
Aston University,England,All,Full-time,Total,Total,12270
Aston University,England,All,Part-time,Total,Total,2345
Bangor University,Wales,All,All,Domicile,Total Non-UK,2495
Bangor University,Wales,All,All,Total,Total,11155
Bangor University,Wales,All,Full-time,Total,Total,9565
Bangor University,Wales,All,Part-time,Total,Total,1590
Bath Spa University,England,All,All,Domicile,Total Non-UK,665
Bath Spa University,England,All,All,Total,Total,7990
Bath Spa University,England,All,Full-time,Total,Total,7160
Bath Spa University,England,All,Part-time,Total,Total,830
The University of Bath,England,All,All,Domicile,Total Non-UK,5230
The University of Bath,England,All,All,Total,Total,17555
The University of Bath,England,All,Full-time,Total,Total,15980
The University of Bath,England,All,Part-time,Total,Total,1575
University of Bedfordshire,England,All,All,Domicile,Total Non-UK,2395
University of Bedfordshire,England,All,All,Total,Total,12800
University of Bedfordshire,England,All,Full-time,Total,Total,9920
University of Bedfordshire,England,All,Part-time,Total,Total,2880
Queen's University Belfast,Northern Ireland,All,All,Domicile,Total Non-UK,3605
Queen's University Belfast,Northern Ireland,All,All,Total,Total,24490
Queen's University Belfast,Northern Ireland,All,Full-time,Total,Total,18720
Queen's University Belfast,Northern Ireland,All,Part-time,Total,Total,5770
BIMM University,England,All,All,Domicile,Total Non-UK,760
BIMM University,England,All,All,Total,Total,5275
BIMM University,England,All,Full-time,Total,Total,5275
Birkbeck College,England,All,All,Domicile,Total Non-UK,1360
Birkbeck College,England,All,All,Total,Total,11940
Birkbeck College,England,All,Full-time,Total,Total,4300
Birkbeck College,England,All,Part-time,Total,Total,7640
Birmingham City University,England,All,All,Domicile,Total Non-UK,2925
Birmingham City University,England,All,All,Total,Total,24575
Birmingham City University,England,All,Full-time,Total,Total,20405
Birmingham City University,England,All,Part-time,Total,Total,4170
The University of Birmingham,England,All,All,Domicile,Total Non-UK,8210
The University of Birmingham,England,All,All,Total,Total,34915
The University of Birmingham,England,All,Full-time,Total,Total,28900
The University of Birmingham,England,All,Part-time,Total,Total,6015
University College Birmingham,England,All,All,Domicile,Total Non-UK,1525
University College Birmingham,England,All,All,Total,Total,4945
University College Birmingham,England,All,Full-time,Total,Total,4250
University College Birmingham,England,All,Part-time,Total,Total,695
Bristol Baptist College,England,All,All,Domicile,Total Non-UK,0
Bristol Baptist College,England,All,All,Total,Total,45
Bristol Baptist College,England,All,Full-time,Total,Total,15
Bristol Baptist College,England,All,Part-time,Total,Total,35
Bishop Grosseteste University,England,All,All,Domicile,Total Non-UK,10
Bishop Grosseteste University,England,All,All,Total,Total,2255
Bishop Grosseteste University,England,All,Full-time,Total,Total,2080
Bishop Grosseteste University,England,All,Part-time,Total,Total,170
Bloomsbury Institute,England,All,All,Domicile,Total Non-UK,55
Bloomsbury Institute,England,All,All,Total,Total,1615
Bloomsbury Institute,England,All,Full-time,Total,Total,1615
The University of Bolton,England,All,All,Domicile,Total Non-UK,515
The University of Bolton,England,All,All,Total,Total,6540
The University of Bolton,England,All,Full-time,Total,Total,4865
The University of Bolton,England,All,Part-time,Total,Total,1675
The Arts University Bournemouth,England,All,All,Domicile,Total Non-UK,525
The Arts University Bournemouth,England,All,All,Total,Total,3490
The Arts University Bournemouth,England,All,Full-time,Total,Total,3420
The Arts University Bournemouth,England,All,Part-time,Total,Total,70
Bournemouth University,England,All,All,Domicile,Total Non-UK,2325
Bournemouth University,England,All,All,Total,Total,18705
Bournemouth University,England,All,Full-time,Total,Total,15035
Bournemouth University,England,All,Part-time,Total,Total,3670
BPP University,England,All,All,Domicile,Total Non-UK,3295
BPP University,England,All,All,Total,Total,9965
BPP University,England,All,Full-time,Total,Total,7630
BPP University,England,All,Part-time,Total,Total,2335
The University of Bradford,England,All,All,Domicile,Total Non-UK,1505
The University of Bradford,England,All,All,Total,Total,10115
The University of Bradford,England,All,Full-time,Total,Total,7965
The University of Bradford,England,All,Part-time,Total,Total,2150
The University of Brighton,England,All,All,Domicile,Total Non-UK,2755
The University of Brighton,England,All,All,Total,Total,21555
