HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
AA School of Architecture,England,All,All,Domicile,Total Non-UK,380
AA School of Architecture,England,All,All,Total,Total,450
AA School of Architecture,England,All,Full-time,Total,Total,450
The University of Aberdeen,Scotland,All,All,Domicile,Total Non-UK,4420
The University of Aberdeen,Scotland,All,All,Total,Total,14150
The University of Aberdeen,Scotland,All,Full-time,Total,Total,12270
The University of Aberdeen,Scotland,All,Part-time,Total,Total,1875
ABI College Limited,England,All,All,Domicile,Total Non-UK,0
ABI College Limited,England,All,All,Total,Total,70
ABI College Limited,England,All,Full-time,Total,Total,70
Abertay University,Scotland,All,All,Domicile,Total Non-UK,545
Abertay University,Scotland,All,All,Total,Total,3845
Abertay University,Scotland,All,Full-time,Total,Total,3430
Abertay University,Scotland,All,Part-time,Total,Total,420
Aberystwyth University,Wales,All,All,Domicile,Total Non-UK,1250
Aberystwyth University,Wales,All,All,Total,Total,8455
Aberystwyth University,Wales,All,Full-time,Total,Total,6670
Aberystwyth University,Wales,All,Part-time,Total,Total,1785
Access to Music Limited,England,All,All,Domicile,Total Non-UK,0
Access to Music Limited,England,All,All,Total,Total,60
Access to Music Limited,England,All,Full-time,Total,Total,60
Academy of Live and Recorded Arts,England,All,All,Domicile,Total Non-UK,5
Academy of Live and Recorded Arts,England,All,All,Total,Total,180
Academy of Live and Recorded Arts,England,All,Full-time,Total,Total,180
Anglia Ruskin University,England,All,All,Domicile,Total Non-UK,2860
Anglia Ruskin University,England,All,All,Total,Total,22245
Anglia Ruskin University,England,All,Full-time,Total,Total,17465
Anglia Ruskin University,England,All,Part-time,Total,Total,4780
Apex College London,England,All,All,Domicile,Total Non-UK,0
Apex College London,England,All,All,Total,Total,50
Apex College London,England,All,Full-time,Total,Total,50
Arden University,England,All,All,Domicile,Total Non-UK,10
Arden University,England,All,All,Total,Total,2465
Arden University,England,All,Full-time,Total,Total,500
Arden University,England,All,Part-time,Total,Total,1965
Arts Educational Schools,England,All,All,Domicile,Total Non-UK,15
Arts Educational Schools,England,All,All,Total,Total,245
Arts Educational Schools,England,All,Full-time,Total,Total,235
Arts Educational Schools,England,All,Part-time,Total,Total,10
Aston University,England,All,All,Domicile,Total Non-UK,2430
Aston University,England,All,All,Total,Total,13610
Aston University,England,All,Full-time,Total,Total,11580
Aston University,England,All,Part-time,Total,Total,2030
Bangor University,Wales,All,All,Domicile,Total Non-UK,2385
Bangor University,Wales,All,All,Total,Total,11270
Bangor University,Wales,All,Full-time,Total,Total,9540
Bangor University,Wales,All,Part-time,Total,Total,1730
Bath Spa University,England,All,All,Domicile,Total Non-UK,780
Bath Spa University,England,All,All,Total,Total,7980
Bath Spa University,England,All,Full-time,Total,Total,7125
Bath Spa University,England,All,Part-time,Total,Total,855
The University of Bath,England,All,All,Domicile,Total Non-UK,4945
The University of Bath,England,All,All,Total,Total,16910
The University of Bath,England,All,Full-time,Total,Total,15195
The University of Bath,England,All,Part-time,Total,Total,1710
University of Bedfordshire,England,All,All,Domicile,Total Non-UK,2445
University of Bedfordshire,England,All,All,Total,Total,14000
University of Bedfordshire,England,All,Full-time,Total,Total,10675
University of Bedfordshire,England,All,Part-time,Total,Total,3325
Queen's University Belfast,Northern Ireland,All,All,Domicile,Total Non-UK,3065
Queen's University Belfast,Northern Ireland,All,All,Total,Total,23850
Queen's University Belfast,Northern Ireland,All,Full-time,Total,Total,18135
Queen's University Belfast,Northern Ireland,All,Part-time,Total,Total,5720
BIMM University,England,All,All,Domicile,Total Non-UK,680
BIMM University,England,All,All,Total,Total,4995
BIMM University,England,All,Full-time,Total,Total,4995
Birkbeck College,England,All,All,Domicile,Total Non-UK,1355
Birkbeck College,England,All,All,Total,Total,12915
Birkbeck College,England,All,Full-time,Total,Total,4285
Birkbeck College,England,All,Part-time,Total,Total,8635
Birmingham City University,England,All,All,Domicile,Total Non-UK,2980
Birmingham City University,England,All,All,Total,Total,24130
Birmingham City University,England,All,Full-time,Total,Total,19715
Birmingham City University,England,All,Part-time,Total,Total,4415
The University of Birmingham,England,All,All,Domicile,Total Non-UK,8210
The University of Birmingham,England,All,All,Total,Total,34835
The University of Birmingham,England,All,Full-time,Total,Total,28625
The University of Birmingham,England,All,Part-time,Total,Total,6215
University College Birmingham,England,All,All,Domicile,Total Non-UK,1355
University College Birmingham,England,All,All,Total,Total,4935
University College Birmingham,England,All,Full-time,Total,Total,4210
University College Birmingham,England,All,Part-time,Total,Total,725
Bristol Baptist College,England,All,All,Domicile,Total Non-UK,0
Bristol Baptist College,England,All,All,Total,Total,25
Bristol Baptist College,England,All,Full-time,Total,Total,10
Bristol Baptist College,England,All,Part-time,Total,Total,15
Bishop Grosseteste University,England,All,All,Domicile,Total Non-UK,10
Bishop Grosseteste University,England,All,All,Total,Total,2225
Bishop Grosseteste University,England,All,Full-time,Total,Total,2080
Bishop Grosseteste University,England,All,Part-time,Total,Total,145
Bloomsbury Institute,England,All,All,Domicile,Total Non-UK,55
Bloomsbury Institute,England,All,All,Total,Total,1280
Bloomsbury Institute,England,All,Full-time,Total,Total,1280
The University of Bolton,England,All,All,Domicile,Total Non-UK,480
The University of Bolton,England,All,All,Total,Total,6425
The University of Bolton,England,All,Full-time,Total,Total,4740
The University of Bolton,England,All,Part-time,Total,Total,1685
The Arts University Bournemouth,England,All,All,Domicile,Total Non-UK,530
The Arts University Bournemouth,England,All,All,Total,Total,3315
The Arts University Bournemouth,England,All,Full-time,Total,Total,3250
The Arts University Bournemouth,England,All,Part-time,Total,Total,65
Bournemouth University,England,All,All,Domicile,Total Non-UK,2625
Bournemouth University,England,All,All,Total,Total,20200
Bournemouth University,England,All,Full-time,Total,Total,15295
Bournemouth University,England,All,Part-time,Total,Total,4905
BPP University,England,All,All,Domicile,Total Non-UK,2510
BPP University,England,All,All,Total,Total,6035
BPP University,England,All,Full-time,Total,Total,4865
BPP University,England,All,Part-time,Total,Total,1170
The University of Bradford,England,All,All,Domicile,Total Non-UK,1605
The University of Bradford,England,All,All,Total,Total,10960
The University of Bradford,England,All,Full-time,Total,Total,8245
The University of Bradford,England,All,Part-time,Total,Total,2715
The University of Brighton,England,All,All,Domicile,Total Non-UK,2805
The University of Brighton,England,All,All,Total,Total,21655
The University of Brighton,England,All,Full-time,Total,Total,16450
The University of Brighton,England,All,Part-time,Total,Total,5205
The University College of Osteopathy,England,All,All,Domicile,Total Non-UK,60
The University College of Osteopathy,England,All,All,Total,Total,470
The University College of Osteopathy,England,All,Full-time,Total,Total,255
The University College of Osteopathy,England,All,Part-time,Total,Total,215
The University of Bristol,England,All,All,Domicile,Total Non-UK,5285
The University of Bristol,England,All,All,Total,Total,23590
The University of Bristol,England,All,Full-time,Total,Total,21850
The University of Bristol,England,All,Part-time,Total,Total,1745
Brit College,England,All,All,Domicile,Total Non-UK,35
Brit College,England,All,All,Total,Total,545
Brit College,England,All,Full-time,Total,Total,545
Trinity College Bristol,England,All,All,Domicile,Total Non-UK,0
Trinity College Bristol,England,All,All,Total,Total,120
Trinity College Bristol,England,All,Full-time,Total,Total,75
Trinity College Bristol,England,All,Part-time,Total,Total,40
Brunel University London,England,All,All,Domicile,Total Non-UK,3490
Brunel University London,England,All,All,Total,Total,13130
Brunel University London,England,All,Full-time,Total,Total,11940
Brunel University London,England,All,Part-time,Total,Total,1190
Buckinghamshire New University,England,All,All,Domicile,Total Non-UK,770
Buckinghamshire New University,England,All,All,Total,Total,8870
Buckinghamshire New University,England,All,Full-time,Total,Total,6550
Buckinghamshire New University,England,All,Part-time,Total,Total,2325
The University of Buckingham,England,All,All,Domicile,Total Non-UK,945
The University of Buckingham,England,All,All,Total,Total,2520
The University of Buckingham,England,All,Full-time,Total,Total,2370
The University of Buckingham,England,All,Part-time,Total,Total,150
UK College of Business and Computing,England,All,All,Domicile,Total Non-UK,0
UK College of Business and Computing,England,All,All,Total,Total,955
UK College of Business and Computing,England,All,Full-time,Total,Total,955
London College of Business Sciences,England,All,All,Domicile,Total Non-UK,0
London College of Business Sciences,England,All,All,Total,Total,40
London College of Business Sciences,England,All,Full-time,Total,Total,20
London College of Business Sciences,England,All,Part-time,Total,Total,20
Cambridge Arts and Sciences Limited,England,All,All,Domicile,Total Non-UK,65
Cambridge Arts and Sciences Limited,England,All,All,Total,Total,85
Cambridge Arts and Sciences Limited,England,All,Full-time,Total,Total,85
The University of Cambridge,England,All,All,Domicile,Total Non-UK,6750
The University of Cambridge,England,All,All,Total,Total,19955
The University of Cambridge,England,All,Full-time,Total,Total,18465
The University of Cambridge,England,All,Part-time,Total,Total,1490
The Cambridge Theological Federation,England,All,All,Domicile,Total Non-UK,0
The Cambridge Theological Federation,England,All,All,Total,Total,185
The Cambridge Theological Federation,England,All,Full-time,Total,Total,100
The Cambridge Theological Federation,England,All,Part-time,Total,Total,85
The Institute of Cancer Research,England,All,All,Domicile,Total Non-UK,25
The Institute of Cancer Research,England,All,All,Total,Total,275
The Institute of Cancer Research,England,All,Full-time,Total,Total,110
The Institute of Cancer Research,England,All,Part-time,Total,Total,160
Canterbury Christ Church University,England,All,All,Domicile,Total Non-UK,730
