HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,2396050
all,all,All postgraduate,all,total,total,536810
all,all,All postgraduate,full-time,total,total,268000
all,all,All postgraduate,part-time,total,total,268815
all,all,All postgraduate,all,domicile,total uk,353430
all,all,All postgraduate,all,domicile,total non-uk,183380
all,all,All undergraduate,all,total,total,1859240
all,all,All undergraduate,full-time,total,total,1272030
all,all,All undergraduate,part-time,total,total,587205
all,all,All undergraduate,all,domicile,total uk,1673655
all,all,All undergraduate,all,domicile,total non-uk,185585
all,all,all,full-time,total,total,1540030
all,all,all,part-time,total,total,856020
all,all,all,all,domicile,total uk,2027085
all,all,all,all,domicile,total non-uk,368965
total,england,all,all,total,total,2005840
total,england,All postgraduate,all,total,total,449315
total,england,All postgraduate,full-time,total,total,222955
total,england,All postgraduate,part-time,total,total,226360
total,england,All postgraduate,all,domicile,total uk,297300
total,england,All postgraduate,all,domicile,total non-uk,152015
total,england,All undergraduate,all,total,total,1556525
total,england,All undergraduate,full-time,total,total,1044720
total,england,All undergraduate,part-time,total,total,511805
total,england,All undergraduate,all,domicile,total uk,1403755
total,england,All undergraduate,all,domicile,total non-uk,152770
total,england,all,full-time,total,total,1267675
total,england,all,part-time,total,total,738165
total,england,all,all,domicile,total uk,1701055
total,england,all,all,domicile,total non-uk,304785
anglia ruskin university,england,all,all,total,total,19830
anglia ruskin university,england,All postgraduate,all,total,total,2215
anglia ruskin university,england,All postgraduate,full-time,total,total,800
anglia ruskin university,england,All postgraduate,part-time,total,total,1415
anglia ruskin university,england,All postgraduate,all,domicile,total uk,1650
anglia ruskin university,england,All postgraduate,all,domicile,total non-uk,565
anglia ruskin university,england,All undergraduate,all,total,total,17615
anglia ruskin university,england,All undergraduate,full-time,total,total,10100
anglia ruskin university,england,All undergraduate,part-time,total,total,7515
anglia ruskin university,england,All undergraduate,all,domicile,total uk,15600
anglia ruskin university,england,All undergraduate,all,domicile,total non-uk,2015
anglia ruskin university,england,all,full-time,total,total,10900
anglia ruskin university,england,all,part-time,total,total,8930
anglia ruskin university,england,all,all,domicile,total uk,17250
anglia ruskin university,england,all,all,domicile,total non-uk,2580
aston university,england,all,all,total,total,10490
aston university,england,All postgraduate,all,total,total,2730
aston university,england,All postgraduate,full-time,total,total,1855
aston university,england,All postgraduate,part-time,total,total,875
aston university,england,All postgraduate,all,domicile,total uk,1185
aston university,england,All postgraduate,all,domicile,total non-uk,1545
aston university,england,All undergraduate,all,total,total,7760
aston university,england,All undergraduate,full-time,total,total,7235
aston university,england,All undergraduate,part-time,total,total,525
aston university,england,All undergraduate,all,domicile,total uk,6200
aston university,england,All undergraduate,all,domicile,total non-uk,1560
aston university,england,all,full-time,total,total,9090
aston university,england,all,part-time,total,total,1400
aston university,england,all,all,domicile,total uk,7385
aston university,england,all,all,domicile,total non-uk,3105
bath spa university,england,all,all,total,total,8160
bath spa university,england,All postgraduate,all,total,total,2790
bath spa university,england,All postgraduate,full-time,total,total,710
bath spa university,england,All postgraduate,part-time,total,total,2080
bath spa university,england,All postgraduate,all,domicile,total uk,2740
bath spa university,england,All postgraduate,all,domicile,total non-uk,50
bath spa university,england,All undergraduate,all,total,total,5370
bath spa university,england,All undergraduate,full-time,total,total,4775
bath spa university,england,All undergraduate,part-time,total,total,595
bath spa university,england,All undergraduate,all,domicile,total uk,5205
bath spa university,england,All undergraduate,all,domicile,total non-uk,165
bath spa university,england,all,full-time,total,total,5485
bath spa university,england,all,part-time,total,total,2675
bath spa university,england,all,all,domicile,total uk,7945
bath spa university,england,all,all,domicile,total non-uk,215
the university of bath,england,all,all,total,total,13380
the university of bath,england,All postgraduate,all,total,total,4070
the university of bath,england,All postgraduate,full-time,total,total,1545
the university of bath,england,All postgraduate,part-time,total,total,2525
the university of bath,england,All postgraduate,all,domicile,total uk,2400
the university of bath,england,All postgraduate,all,domicile,total non-uk,1670
the university of bath,england,All undergraduate,all,total,total,9305
the university of bath,england,All undergraduate,full-time,total,total,8890
the university of bath,england,All undergraduate,part-time,total,total,415
the university of bath,england,All undergraduate,all,domicile,total uk,7295
the university of bath,england,All undergraduate,all,domicile,total non-uk,2010
the university of bath,england,all,full-time,total,total,10435
the university of bath,england,all,part-time,total,total,2940
the university of bath,england,all,all,domicile,total uk,9695
the university of bath,england,all,all,domicile,total non-uk,3680
university of bedfordshire,england,all,all,total,total,17280
university of bedfordshire,england,All postgraduate,all,total,total,4040
university of bedfordshire,england,All postgraduate,full-time,total,total,2770
university of bedfordshire,england,All postgraduate,part-time,total,total,1270
university of bedfordshire,england,All postgraduate,all,domicile,total uk,1385
university of bedfordshire,england,All postgraduate,all,domicile,total non-uk,2655
