HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,1756179
all,all,All postgraduate,full-time,total,total,140909
all,all,All postgraduate,part-time,total,total,222663
all,all,All postgraduate,all,domicile,total uk,285843
all,all,All postgraduate,all,total,total,363572
all,all,All postgraduate,all,domicile,total non-uk,77729
all,all,All undergraduate,full-time,total,total,997661
all,all,All undergraduate,part-time,total,total,394946
all,all,All undergraduate,all,domicile,total uk,1272272
all,all,All undergraduate,all,total,total,1392607
all,all,All undergraduate,all,domicile,total non-uk,120335
all,all,all,full-time,total,total,1138570
all,all,all,part-time,total,total,617609
all,all,all,all,domicile,total uk,1558115
all,all,all,all,domicile,total non-uk,198064
total,england,all,all,total,total,1458684
total,england,All postgraduate,full-time,total,total,115729
total,england,All postgraduate,part-time,total,total,183358
total,england,All postgraduate,all,domicile,total uk,235583
total,england,All postgraduate,all,total,total,299087
total,england,All postgraduate,all,domicile,total non-uk,63504
total,england,All undergraduate,full-time,total,total,807138
total,england,All undergraduate,part-time,total,total,352459
total,england,All undergraduate,all,domicile,total uk,1061248
total,england,All undergraduate,all,total,total,1159597
total,england,All undergraduate,all,domicile,total non-uk,98349
total,england,all,full-time,total,total,922867
total,england,all,part-time,total,total,535817
total,england,all,all,domicile,total uk,1296831
total,england,all,all,domicile,total non-uk,161853
anglia polytechnic university,england,all,all,total,total,18288
anglia polytechnic university,england,All postgraduate,full-time,total,total,349
anglia polytechnic university,england,All postgraduate,part-time,total,total,1780
anglia polytechnic university,england,All postgraduate,all,domicile,total uk,1954
anglia polytechnic university,england,All postgraduate,all,total,total,2129
anglia polytechnic university,england,All postgraduate,all,domicile,total non-uk,175
anglia polytechnic university,england,All undergraduate,full-time,total,total,10159
anglia polytechnic university,england,All undergraduate,part-time,total,total,6000
anglia polytechnic university,england,All undergraduate,all,domicile,total uk,14632
anglia polytechnic university,england,All undergraduate,all,total,total,16159
anglia polytechnic university,england,All undergraduate,all,domicile,total non-uk,1527
anglia polytechnic university,england,all,full-time,total,total,10508
anglia polytechnic university,england,all,part-time,total,total,7780
anglia polytechnic university,england,all,all,domicile,total uk,16586
anglia polytechnic university,england,all,all,domicile,total non-uk,1702
aston university,england,all,all,total,total,5626
aston university,england,All postgraduate,full-time,total,total,367
aston university,england,All postgraduate,part-time,total,total,1078
aston university,england,All postgraduate,all,domicile,total uk,1037
aston university,england,All postgraduate,all,total,total,1445
aston university,england,All postgraduate,all,domicile,total non-uk,408
aston university,england,All undergraduate,full-time,total,total,4157
aston university,england,All undergraduate,part-time,total,total,24
aston university,england,All undergraduate,all,domicile,total uk,3899
aston university,england,All undergraduate,all,total,total,4181
aston university,england,All undergraduate,all,domicile,total non-uk,282
aston university,england,all,full-time,total,total,4524
aston university,england,all,part-time,total,total,1102
aston university,england,all,all,domicile,total uk,4936
aston university,england,all,all,domicile,total non-uk,690
bath college of he,england,all,all,total,total,3029
bath college of he,england,All postgraduate,full-time,total,total,225
bath college of he,england,All postgraduate,part-time,total,total,747
bath college of he,england,All postgraduate,all,domicile,total uk,965
bath college of he,england,All postgraduate,all,total,total,972
bath college of he,england,All postgraduate,all,domicile,total non-uk,7
bath college of he,england,All undergraduate,full-time,total,total,1997
bath college of he,england,All undergraduate,part-time,total,total,60
bath college of he,england,All undergraduate,all,domicile,total uk,1913
bath college of he,england,All undergraduate,all,total,total,2057
bath college of he,england,All undergraduate,all,domicile,total non-uk,144
bath college of he,england,all,full-time,total,total,2222
bath college of he,england,all,part-time,total,total,807
bath college of he,england,all,all,domicile,total uk,2878
bath college of he,england,all,all,domicile,total non-uk,151
the university of bath,england,all,all,total,total,8266
the university of bath,england,All postgraduate,full-time,total,total,922
the university of bath,england,All postgraduate,part-time,total,total,2353
the university of bath,england,All postgraduate,all,domicile,total uk,2098
the university of bath,england,All postgraduate,all,total,total,3275
the university of bath,england,All postgraduate,all,domicile,total non-uk,1177
the university of bath,england,All undergraduate,full-time,total,total,4987
the university of bath,england,All undergraduate,part-time,total,total,4
the university of bath,england,All undergraduate,all,domicile,total uk,4330
the university of bath,england,All undergraduate,all,total,total,4991
the university of bath,england,All undergraduate,all,domicile,total non-uk,661
the university of bath,england,all,full-time,total,total,5909
the university of bath,england,all,part-time,total,total,2357
the university of bath,england,all,all,domicile,total uk,6428
the university of bath,england,all,all,domicile,total non-uk,1838
birkbeck college,england,all,all,total,total,13176
birkbeck college,england,All postgraduate,full-time,total,total,410
birkbeck college,england,All postgraduate,part-time,total,total,2178
birkbeck college,england,All postgraduate,all,domicile,total uk,2391
birkbeck college,england,All postgraduate,all,total,total,2588
birkbeck college,england,All postgraduate,all,domicile,total non-uk,197
birkbeck college,england,All undergraduate,full-time,total,total,87
birkbeck college,england,All undergraduate,part-time,total,total,10501
birkbeck college,england,All undergraduate,all,domicile,total uk,10468
birkbeck college,england,All undergraduate,all,total,total,10588
birkbeck college,england,All undergraduate,all,domicile,total non-uk,120
birkbeck college,england,all,full-time,total,total,497
birkbeck college,england,all,part-time,total,total,12679
birkbeck college,england,all,all,domicile,total uk,12859
birkbeck college,england,all,all,domicile,total non-uk,317
the university of birmingham,england,all,all,total,total,22967
the university of birmingham,england,All postgraduate,full-time,total,total,3542
the university of birmingham,england,All postgraduate,part-time,total,total,3684
the university of birmingham,england,All postgraduate,all,domicile,total uk,5463
the university of birmingham,england,All postgraduate,all,total,total,7226
the university of birmingham,england,All postgraduate,all,domicile,total non-uk,1763
the university of birmingham,england,All undergraduate,full-time,total,total,13039
the university of birmingham,england,All undergraduate,part-time,total,total,2702
the university of birmingham,england,All undergraduate,all,domicile,total uk,14401
the university of birmingham,england,All undergraduate,all,total,total,15741
the university of birmingham,england,All undergraduate,all,domicile,total non-uk,1340
the university of birmingham,england,all,full-time,total,total,16581
the university of birmingham,england,all,part-time,total,total,6386
the university of birmingham,england,all,all,domicile,total uk,19864
the university of birmingham,england,all,all,domicile,total non-uk,3103
bishop grosseteste college,england,all,all,total,total,852
bishop grosseteste college,england,All postgraduate,full-time,total,total,19
bishop grosseteste college,england,All postgraduate,part-time,total,total,29
bishop grosseteste college,england,All postgraduate,all,domicile,total uk,48
