HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,1990625
all,all,All postgraduate,all,total,total,448695
all,all,All postgraduate,full-time,total,total,172285
all,all,All postgraduate,part-time,total,total,276410
all,all,All postgraduate,all,domicile,total uk,337335
all,all,All postgraduate,all,domicile,total non-uk,111365
all,all,All undergraduate,all,total,total,1541930
all,all,All undergraduate,full-time,total,total,1037880
all,all,All undergraduate,part-time,total,total,504045
all,all,All undergraduate,all,domicile,total uk,1422425
all,all,All undergraduate,all,domicile,total non-uk,119505
all,all,all,full-time,total,total,1210165
all,all,all,part-time,total,total,780455
all,all,all,all,domicile,total uk,1759760
all,all,all,all,domicile,total non-uk,230870
total,england,all,all,total,total,1656700
total,england,All postgraduate,all,total,total,377810
total,england,All postgraduate,full-time,total,total,144475
total,england,All postgraduate,part-time,total,total,233330
total,england,All postgraduate,all,domicile,total uk,281880
total,england,All postgraduate,all,domicile,total non-uk,95930
total,england,All undergraduate,all,total,total,1278895
total,england,All undergraduate,full-time,total,total,839675
total,england,All undergraduate,part-time,total,total,439220
total,england,All undergraduate,all,domicile,total uk,1178455
total,england,All undergraduate,all,domicile,total non-uk,100435
total,england,all,full-time,total,total,984150
total,england,all,part-time,total,total,672550
total,england,all,all,domicile,total uk,1460335
total,england,all,all,domicile,total non-uk,196365
anglia polytechnic university,england,all,all,total,total,23405
anglia polytechnic university,england,All postgraduate,all,total,total,3295
anglia polytechnic university,england,All postgraduate,full-time,total,total,545
anglia polytechnic university,england,All postgraduate,part-time,total,total,2750
anglia polytechnic university,england,All postgraduate,all,domicile,total uk,2700
anglia polytechnic university,england,All postgraduate,all,domicile,total non-uk,595
anglia polytechnic university,england,All undergraduate,all,total,total,20110
anglia polytechnic university,england,All undergraduate,full-time,total,total,9435
anglia polytechnic university,england,All undergraduate,part-time,total,total,10675
anglia polytechnic university,england,All undergraduate,all,domicile,total uk,18270
anglia polytechnic university,england,All undergraduate,all,domicile,total non-uk,1840
anglia polytechnic university,england,all,full-time,total,total,9980
anglia polytechnic university,england,all,part-time,total,total,13425
anglia polytechnic university,england,all,all,domicile,total uk,20970
anglia polytechnic university,england,all,all,domicile,total non-uk,2435
aston university,england,all,all,total,total,6990
aston university,england,All postgraduate,all,total,total,2000
aston university,england,All postgraduate,full-time,total,total,465
aston university,england,All postgraduate,part-time,total,total,1535
aston university,england,All postgraduate,all,domicile,total uk,1330
aston university,england,All postgraduate,all,domicile,total non-uk,670
aston university,england,All undergraduate,all,total,total,4990
aston university,england,All undergraduate,full-time,total,total,4910
aston university,england,All undergraduate,part-time,total,total,85
aston university,england,All undergraduate,all,domicile,total uk,4685
aston university,england,All undergraduate,all,domicile,total non-uk,310
aston university,england,all,full-time,total,total,5375
aston university,england,all,part-time,total,total,1620
aston university,england,all,all,domicile,total uk,6015
aston university,england,all,all,domicile,total non-uk,980
bath spa university college,england,all,all,total,total,4280
bath spa university college,england,All postgraduate,all,total,total,1325
bath spa university college,england,All postgraduate,full-time,total,total,515
bath spa university college,england,All postgraduate,part-time,total,total,810
bath spa university college,england,All postgraduate,all,domicile,total uk,1280
bath spa university college,england,All postgraduate,all,domicile,total non-uk,45
bath spa university college,england,All undergraduate,all,total,total,2955
bath spa university college,england,All undergraduate,full-time,total,total,2695
bath spa university college,england,All undergraduate,part-time,total,total,260
bath spa university college,england,All undergraduate,all,domicile,total uk,2790
bath spa university college,england,All undergraduate,all,domicile,total non-uk,165
bath spa university college,england,all,full-time,total,total,3210
bath spa university college,england,all,part-time,total,total,1070
bath spa university college,england,all,all,domicile,total uk,4070
bath spa university college,england,all,all,domicile,total non-uk,210
the university of bath,england,all,all,total,total,10795
the university of bath,england,All postgraduate,all,total,total,4650
the university of bath,england,All postgraduate,full-time,total,total,1155
the university of bath,england,All postgraduate,part-time,total,total,3495
the university of bath,england,All postgraduate,all,domicile,total uk,2990
the university of bath,england,All postgraduate,all,domicile,total non-uk,1660
the university of bath,england,All undergraduate,all,total,total,6150
the university of bath,england,All undergraduate,full-time,total,total,6110
the university of bath,england,All undergraduate,part-time,total,total,35
the university of bath,england,All undergraduate,all,domicile,total uk,5560
the university of bath,england,All undergraduate,all,domicile,total non-uk,585
the university of bath,england,all,full-time,total,total,7265
the university of bath,england,all,part-time,total,total,3530
the university of bath,england,all,all,domicile,total uk,8550
the university of bath,england,all,all,domicile,total non-uk,2245
birkbeck college,england,all,all,total,total,15390
birkbeck college,england,All postgraduate,all,total,total,3150
birkbeck college,england,All postgraduate,full-time,total,total,570
birkbeck college,england,All postgraduate,part-time,total,total,2580
birkbeck college,england,All postgraduate,all,domicile,total uk,2830
birkbeck college,england,All postgraduate,all,domicile,total non-uk,320
birkbeck college,england,All undergraduate,all,total,total,12240
birkbeck college,england,All undergraduate,full-time,total,total,10
birkbeck college,england,All undergraduate,part-time,total,total,12230
birkbeck college,england,All undergraduate,all,domicile,total uk,12220
birkbeck college,england,All undergraduate,all,domicile,total non-uk,20
birkbeck college,england,all,full-time,total,total,580
birkbeck college,england,all,part-time,total,total,14810
birkbeck college,england,all,all,domicile,total uk,15050
birkbeck college,england,all,all,domicile,total non-uk,340
the university of birmingham,england,all,all,total,total,27105
the university of birmingham,england,All postgraduate,all,total,total,9575
the university of birmingham,england,All postgraduate,full-time,total,total,2995
the university of birmingham,england,All postgraduate,part-time,total,total,6575
the university of birmingham,england,All postgraduate,all,domicile,total uk,6580
the university of birmingham,england,All postgraduate,all,domicile,total non-uk,2995
the university of birmingham,england,All undergraduate,all,total,total,17530
the university of birmingham,england,All undergraduate,full-time,total,total,14325
the university of birmingham,england,All undergraduate,part-time,total,total,3210
the university of birmingham,england,All undergraduate,all,domicile,total uk,15975
the university of birmingham,england,All undergraduate,all,domicile,total non-uk,1560
the university of birmingham,england,all,full-time,total,total,17320
the university of birmingham,england,all,part-time,total,total,9785
the university of birmingham,england,all,all,domicile,total uk,22555
the university of birmingham,england,all,all,domicile,total non-uk,4555
bishop grosseteste college,england,all,all,total,total,1030
bishop grosseteste college,england,All postgraduate,all,total,total,245
bishop grosseteste college,england,All postgraduate,full-time,total,total,30
bishop grosseteste college,england,All postgraduate,part-time,total,total,215
bishop grosseteste college,england,All postgraduate,all,domicile,total uk,245
