HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,1800064
all,all,All postgraduate,full-time,total,total,143521
all,all,All postgraduate,part-time,total,total,243480
all,all,All postgraduate,all,domicile,total uk,305069
all,all,All postgraduate,all,total,total,287042
all,all,All postgraduate,all,domicile,total non-uk,81932
all,all,All undergraduate,full-time,total,total,1022606
all,all,All undergraduate,part-time,total,total,390457
all,all,All undergraduate,all,domicile,total uk,1281731
all,all,All undergraduate,all,total,total,1413063
all,all,All undergraduate,all,domicile,total non-uk,131332
all,all,all,full-time,total,total,1166127
all,all,all,part-time,total,total,633937
all,all,all,all,domicile,total uk,1586800
all,all,all,all,domicile,total non-uk,213264
total,england,all,all,total,total,1496889
total,england,All postgraduate,full-time,total,total,117577
total,england,All postgraduate,part-time,total,total,206069
total,england,All postgraduate,all,domicile,total uk,255810
total,england,All postgraduate,all,total,total,235154
total,england,All postgraduate,all,domicile,total non-uk,67836
total,england,All undergraduate,full-time,total,total,826386
total,england,All undergraduate,part-time,total,total,346857
total,england,All undergraduate,all,domicile,total uk,1064485
total,england,All undergraduate,all,total,total,1173243
total,england,All undergraduate,all,domicile,total non-uk,108758
total,england,all,full-time,total,total,943963
total,england,all,part-time,total,total,552926
total,england,all,all,domicile,total uk,1320295
total,england,all,all,domicile,total non-uk,176594
anglia polytechnic university,england,all,all,total,total,17931
anglia polytechnic university,england,All postgraduate,full-time,total,total,376
anglia polytechnic university,england,All postgraduate,part-time,total,total,1854
anglia polytechnic university,england,All postgraduate,all,domicile,total uk,1973
anglia polytechnic university,england,All postgraduate,all,total,total,752
anglia polytechnic university,england,All postgraduate,all,domicile,total non-uk,257
anglia polytechnic university,england,All undergraduate,full-time,total,total,10258
anglia polytechnic university,england,All undergraduate,part-time,total,total,5443
anglia polytechnic university,england,All undergraduate,all,domicile,total uk,13928
anglia polytechnic university,england,All undergraduate,all,total,total,15701
anglia polytechnic university,england,All undergraduate,all,domicile,total non-uk,1773
anglia polytechnic university,england,all,full-time,total,total,10634
anglia polytechnic university,england,all,part-time,total,total,7297
anglia polytechnic university,england,all,all,domicile,total uk,15901
anglia polytechnic university,england,all,all,domicile,total non-uk,2030
aston university,england,all,all,total,total,5940
aston university,england,All postgraduate,full-time,total,total,339
aston university,england,All postgraduate,part-time,total,total,1072
aston university,england,All postgraduate,all,domicile,total uk,989
aston university,england,All postgraduate,all,total,total,678
aston university,england,All postgraduate,all,domicile,total non-uk,422
aston university,england,All undergraduate,full-time,total,total,4515
aston university,england,All undergraduate,part-time,total,total,14
aston university,england,All undergraduate,all,domicile,total uk,4216
aston university,england,All undergraduate,all,total,total,4529
aston university,england,All undergraduate,all,domicile,total non-uk,313
aston university,england,all,full-time,total,total,4854
aston university,england,all,part-time,total,total,1086
aston university,england,all,all,domicile,total uk,5205
aston university,england,all,all,domicile,total non-uk,735
bath spa university college,england,all,all,total,total,3331
bath spa university college,england,All postgraduate,full-time,total,total,264
bath spa university college,england,All postgraduate,part-time,total,total,847
bath spa university college,england,All postgraduate,all,domicile,total uk,1101
bath spa university college,england,All postgraduate,all,total,total,528
bath spa university college,england,All postgraduate,all,domicile,total non-uk,10
bath spa university college,england,All undergraduate,full-time,total,total,2144
bath spa university college,england,All undergraduate,part-time,total,total,76
bath spa university college,england,All undergraduate,all,domicile,total uk,2058
bath spa university college,england,All undergraduate,all,total,total,2220
bath spa university college,england,All undergraduate,all,domicile,total non-uk,162
bath spa university college,england,all,full-time,total,total,2408
bath spa university college,england,all,part-time,total,total,923
bath spa university college,england,all,all,domicile,total uk,3159
bath spa university college,england,all,all,domicile,total non-uk,172
the university of bath,england,all,all,total,total,8443
the university of bath,england,All postgraduate,full-time,total,total,1049
the university of bath,england,All postgraduate,part-time,total,total,2273
the university of bath,england,All postgraduate,all,domicile,total uk,2159
the university of bath,england,All postgraduate,all,total,total,2098
the university of bath,england,All postgraduate,all,domicile,total non-uk,1163
the university of bath,england,All undergraduate,full-time,total,total,5121
the university of bath,england,All undergraduate,part-time,total,total,0
the university of bath,england,All undergraduate,all,domicile,total uk,4503
the university of bath,england,All undergraduate,all,total,total,5121
the university of bath,england,All undergraduate,all,domicile,total non-uk,618
the university of bath,england,all,full-time,total,total,6170
the university of bath,england,all,part-time,total,total,2273
the university of bath,england,all,all,domicile,total uk,6662
the university of bath,england,all,all,domicile,total non-uk,1781
birkbeck college,england,all,all,total,total,13050
birkbeck college,england,All postgraduate,full-time,total,total,419
birkbeck college,england,All postgraduate,part-time,total,total,2283
birkbeck college,england,All postgraduate,all,domicile,total uk,2479
birkbeck college,england,All postgraduate,all,total,total,838
birkbeck college,england,All postgraduate,all,domicile,total non-uk,223
birkbeck college,england,All undergraduate,full-time,total,total,52
birkbeck college,england,All undergraduate,part-time,total,total,10296
birkbeck college,england,All undergraduate,all,domicile,total uk,10310
birkbeck college,england,All undergraduate,all,total,total,10348
birkbeck college,england,All undergraduate,all,domicile,total non-uk,38
birkbeck college,england,all,full-time,total,total,471
birkbeck college,england,all,part-time,total,total,12579
birkbeck college,england,all,all,domicile,total uk,12789
birkbeck college,england,all,all,domicile,total non-uk,261
the university of birmingham,england,all,all,total,total,23257
the university of birmingham,england,All postgraduate,full-time,total,total,3307
the university of birmingham,england,All postgraduate,part-time,total,total,4049
the university of birmingham,england,All postgraduate,all,domicile,total uk,5387
the university of birmingham,england,All postgraduate,all,total,total,6614
the university of birmingham,england,All postgraduate,all,domicile,total non-uk,1969
the university of birmingham,england,All undergraduate,full-time,total,total,13208
the university of birmingham,england,All undergraduate,part-time,total,total,2693
the university of birmingham,england,All undergraduate,all,domicile,total uk,14431
the university of birmingham,england,All undergraduate,all,total,total,15901
the university of birmingham,england,All undergraduate,all,domicile,total non-uk,1470
the university of birmingham,england,all,full-time,total,total,16515
the university of birmingham,england,all,part-time,total,total,6742
the university of birmingham,england,all,all,domicile,total uk,19818
the university of birmingham,england,all,all,domicile,total non-uk,3439
bishop grosseteste college,england,all,all,total,total,925
bishop grosseteste college,england,All postgraduate,full-time,total,total,22
bishop grosseteste college,england,All postgraduate,part-time,total,total,40
bishop grosseteste college,england,All postgraduate,all,domicile,total uk,61
bishop grosseteste college,england,All postgraduate,all,total,total,44
bishop grosseteste college,england,All postgraduate,all,domicile,total non-uk,1
