HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
anglia ruskin university,all,All postgraduate,full-time,total,total,1720
anglia ruskin university,all,All postgraduate,part-time,total,total,1465
anglia ruskin university,all,All postgraduate,all,domicile,total uk,1975
anglia ruskin university,all,All postgraduate,all,domicile,total non-uk,1210
anglia ruskin university,all,All postgraduate,all,total,total,3185
anglia ruskin university,all,All undergraduate,full-time,total,total,11710
anglia ruskin university,all,All undergraduate,part-time,total,total,6870
anglia ruskin university,all,All undergraduate,all,domicile,total uk,16245
anglia ruskin university,all,All undergraduate,all,domicile,total non-uk,2335
anglia ruskin university,all,All undergraduate,all,total,total,18580
anglia ruskin university,all,all,all,total,total,21765
anglia ruskin university,all,all,full-time,total,total,13430
anglia ruskin university,all,all,part-time,total,total,8335
anglia ruskin university,all,all,all,domicile,total uk,18220
anglia ruskin university,all,all,all,domicile,total non-uk,3545
aston university,all,All postgraduate,full-time,total,total,2270
aston university,all,All postgraduate,part-time,total,total,920
aston university,all,All postgraduate,all,domicile,total uk,1340
aston university,all,All postgraduate,all,domicile,total non-uk,1850
aston university,all,All postgraduate,all,total,total,3190
aston university,all,All undergraduate,full-time,total,total,7435
aston university,all,All undergraduate,part-time,total,total,695
aston university,all,All undergraduate,all,domicile,total uk,6240
aston university,all,All undergraduate,all,domicile,total non-uk,1890
aston university,all,All undergraduate,all,total,total,8130
aston university,all,all,all,total,total,11325
aston university,all,all,full-time,total,total,9705
aston university,all,all,part-time,total,total,1615
aston university,all,all,all,domicile,total uk,7580
aston university,all,all,all,domicile,total non-uk,3740
bath spa university,all,All postgraduate,full-time,total,total,680
bath spa university,all,All postgraduate,part-time,total,total,2595
bath spa university,all,All postgraduate,all,domicile,total uk,3215
bath spa university,all,All postgraduate,all,domicile,total non-uk,60
bath spa university,all,All postgraduate,all,total,total,3275
bath spa university,all,All undergraduate,full-time,total,total,5285
bath spa university,all,All undergraduate,part-time,total,total,410
bath spa university,all,All undergraduate,all,domicile,total uk,5540
bath spa university,all,All undergraduate,all,domicile,total non-uk,155
bath spa university,all,All undergraduate,all,total,total,5695
bath spa university,all,all,all,total,total,8970
bath spa university,all,all,full-time,total,total,5965
bath spa university,all,all,part-time,total,total,3005
bath spa university,all,all,all,domicile,total uk,8755
bath spa university,all,all,all,domicile,total non-uk,215
the university of bath,all,All postgraduate,full-time,total,total,1950
the university of bath,all,All postgraduate,part-time,total,total,3295
the university of bath,all,All postgraduate,all,domicile,total uk,2950
the university of bath,all,All postgraduate,all,domicile,total non-uk,2295
the university of bath,all,All postgraduate,all,total,total,5245
the university of bath,all,All undergraduate,full-time,total,total,9625
the university of bath,all,All undergraduate,part-time,total,total,450
the university of bath,all,All undergraduate,all,domicile,total uk,7915
the university of bath,all,All undergraduate,all,domicile,total non-uk,2160
the university of bath,all,All undergraduate,all,total,total,10075
the university of bath,all,all,all,total,total,15320
the university of bath,all,all,full-time,total,total,11575
the university of bath,all,all,part-time,total,total,3745
the university of bath,all,all,all,domicile,total uk,10865
the university of bath,all,all,all,domicile,total non-uk,4455
university of bedfordshire,all,All postgraduate,full-time,total,total,3600
university of bedfordshire,all,All postgraduate,part-time,total,total,1780
university of bedfordshire,all,All postgraduate,all,domicile,total uk,1955
university of bedfordshire,all,All postgraduate,all,domicile,total non-uk,3425
university of bedfordshire,all,All postgraduate,all,total,total,5380
university of bedfordshire,all,All undergraduate,full-time,total,total,10585
university of bedfordshire,all,All undergraduate,part-time,total,total,4570
university of bedfordshire,all,All undergraduate,all,domicile,total uk,12390
university of bedfordshire,all,All undergraduate,all,domicile,total non-uk,2765
university of bedfordshire,all,All undergraduate,all,total,total,15155
university of bedfordshire,all,all,all,total,total,20540
university of bedfordshire,all,all,full-time,total,total,14185
university of bedfordshire,all,all,part-time,total,total,6350
university of bedfordshire,all,all,all,domicile,total uk,14345
university of bedfordshire,all,all,all,domicile,total non-uk,6190
birkbeck college,all,All postgraduate,full-time,total,total,1235
birkbeck college,all,All postgraduate,part-time,total,total,3840
birkbeck college,all,All postgraduate,all,domicile,total uk,4325
birkbeck college,all,All postgraduate,all,domicile,total non-uk,750
birkbeck college,all,All postgraduate,all,total,total,5075
birkbeck college,all,All undergraduate,full-time,total,total,210
birkbeck college,all,All undergraduate,part-time,total,total,12535
birkbeck college,all,All undergraduate,all,domicile,total uk,11955
birkbeck college,all,All undergraduate,all,domicile,total non-uk,790
birkbeck college,all,All undergraduate,all,total,total,12745
birkbeck college,all,all,all,total,total,17820
birkbeck college,all,all,full-time,total,total,1445
birkbeck college,all,all,part-time,total,total,16375
birkbeck college,all,all,all,domicile,total uk,16280
birkbeck college,all,all,all,domicile,total non-uk,1540
birmingham city university,all,All postgraduate,full-time,total,total,1975
birmingham city university,all,All postgraduate,part-time,total,total,2140
birmingham city university,all,All postgraduate,all,domicile,total uk,2680
birmingham city university,all,All postgraduate,all,domicile,total non-uk,1430
birmingham city university,all,All postgraduate,all,total,total,4110
birmingham city university,all,All undergraduate,full-time,total,total,15530
birmingham city university,all,All undergraduate,part-time,total,total,4315
birmingham city university,all,All undergraduate,all,domicile,total uk,18275
birmingham city university,all,All undergraduate,all,domicile,total non-uk,1570
birmingham city university,all,All undergraduate,all,total,total,19845
birmingham city university,all,all,all,total,total,23955
birmingham city university,all,all,full-time,total,total,17505
birmingham city university,all,all,part-time,total,total,6455
birmingham city university,all,all,all,domicile,total uk,20955
birmingham city university,all,all,all,domicile,total non-uk,3000
the university of birmingham,all,All postgraduate,full-time,total,total,6740
the university of birmingham,all,All postgraduate,part-time,total,total,4910
the university of birmingham,all,All postgraduate,all,domicile,total uk,7260
the university of birmingham,all,All postgraduate,all,domicile,total non-uk,4390
