HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
anglia ruskin university,all,All postgraduate,full-time,total,total,1640
anglia ruskin university,all,All postgraduate,part-time,total,total,1720
anglia ruskin university,all,All postgraduate,all,domicile,total uk,2220
anglia ruskin university,all,All postgraduate,all,domicile,total non-uk,1140
anglia ruskin university,all,All postgraduate,all,total,total,3360
anglia ruskin university,all,All undergraduate,full-time,total,total,12580
anglia ruskin university,all,All undergraduate,part-time,total,total,5660
anglia ruskin university,all,All undergraduate,all,domicile,total uk,16075
anglia ruskin university,all,All undergraduate,all,domicile,total non-uk,2170
anglia ruskin university,all,All undergraduate,all,total,total,18245
anglia ruskin university,all,all,all,total,total,21605
anglia ruskin university,all,all,full-time,total,total,14220
anglia ruskin university,all,all,part-time,total,total,7380
anglia ruskin university,all,all,all,domicile,total uk,18295
anglia ruskin university,all,all,all,domicile,total non-uk,3310
aston university,all,All postgraduate,full-time,total,total,1530
aston university,all,All postgraduate,part-time,total,total,740
aston university,all,All postgraduate,all,domicile,total uk,1095
aston university,all,All postgraduate,all,domicile,total non-uk,1180
aston university,all,All postgraduate,all,total,total,2275
aston university,all,All undergraduate,full-time,total,total,7270
aston university,all,All undergraduate,part-time,total,total,660
aston university,all,All undergraduate,all,domicile,total uk,6125
aston university,all,All undergraduate,all,domicile,total non-uk,1805
aston university,all,All undergraduate,all,total,total,7930
aston university,all,all,all,total,total,10200
aston university,all,all,full-time,total,total,8800
aston university,all,all,part-time,total,total,1400
aston university,all,all,all,domicile,total uk,7220
aston university,all,all,all,domicile,total non-uk,2985
bath spa university,all,All postgraduate,full-time,total,total,670
bath spa university,all,All postgraduate,part-time,total,total,2170
bath spa university,all,All postgraduate,all,domicile,total uk,2775
bath spa university,all,All postgraduate,all,domicile,total non-uk,60
bath spa university,all,All postgraduate,all,total,total,2835
bath spa university,all,All undergraduate,full-time,total,total,5375
bath spa university,all,All undergraduate,part-time,total,total,340
bath spa university,all,All undergraduate,all,domicile,total uk,5555
bath spa university,all,All undergraduate,all,domicile,total non-uk,160
bath spa university,all,All undergraduate,all,total,total,5715
bath spa university,all,all,all,total,total,8550
