HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,1720094
all,all,All postgraduate,full-time,total,total,135348
all,all,All postgraduate,part-time,total,total,234771
all,all,All postgraduate,all,domicile,total uk,287695
all,all,All postgraduate,all,domicile,total non-uk,82424
all,all,All postgraduate,all,total,total,370119
all,all,All undergraduate,full-time,total,total,972493
all,all,All undergraduate,part-time,total,total,377482
all,all,All undergraduate,all,domicile,total uk,1236053
all,all,All undergraduate,all,domicile,total non-uk,113922
all,all,All undergraduate,all,total,total,1349975
all,all,all,full-time,total,total,1107841
all,all,all,part-time,total,total,612253
all,all,all,all,domicile,total uk,1523748
all,all,all,all,domicile,total non-uk,196346
total,england,all,all,total,total,1437965
total,england,All postgraduate,full-time,total,total,110892
total,england,All postgraduate,part-time,total,total,196452
total,england,All postgraduate,all,domicile,total uk,240768
total,england,All postgraduate,all,domicile,total non-uk,66576
total,england,All postgraduate,all,total,total,307344
total,england,All undergraduate,full-time,total,total,789139
total,england,All undergraduate,part-time,total,total,341482
total,england,All undergraduate,all,domicile,total uk,1036780
total,england,All undergraduate,all,domicile,total non-uk,93841
total,england,All undergraduate,all,total,total,1130621
total,england,all,full-time,total,total,900031
total,england,all,part-time,total,total,537934
total,england,all,all,domicile,total uk,1277548
total,england,all,all,domicile,total non-uk,160417
anglia polytechnic university,england,all,all,total,total,19235
anglia polytechnic university,england,All postgraduate,full-time,total,total,416
anglia polytechnic university,england,All postgraduate,part-time,total,total,1675
anglia polytechnic university,england,All postgraduate,all,domicile,total uk,1942
anglia polytechnic university,england,All postgraduate,all,domicile,total non-uk,149
anglia polytechnic university,england,All postgraduate,all,total,total,2091
anglia polytechnic university,england,All undergraduate,full-time,total,total,10153
anglia polytechnic university,england,All undergraduate,part-time,total,total,6991
anglia polytechnic university,england,All undergraduate,all,domicile,total uk,15881
anglia polytechnic university,england,All undergraduate,all,domicile,total non-uk,1263
anglia polytechnic university,england,All undergraduate,all,total,total,17144
anglia polytechnic university,england,all,full-time,total,total,10569
anglia polytechnic university,england,all,part-time,total,total,8666
anglia polytechnic university,england,all,all,domicile,total uk,17823
anglia polytechnic university,england,all,all,domicile,total non-uk,1412
the university of aston in birmingham,england,all,all,total,total,5488
the university of aston in birmingham,england,All postgraduate,full-time,total,total,392
the university of aston in birmingham,england,All postgraduate,part-time,total,total,970
the university of aston in birmingham,england,All postgraduate,all,domicile,total uk,949
the university of aston in birmingham,england,All postgraduate,all,domicile,total non-uk,413
the university of aston in birmingham,england,All postgraduate,all,total,total,1362
the university of aston in birmingham,england,All undergraduate,full-time,total,total,4095
the university of aston in birmingham,england,All undergraduate,part-time,total,total,31
the university of aston in birmingham,england,All undergraduate,all,domicile,total uk,3845
the university of aston in birmingham,england,All undergraduate,all,domicile,total non-uk,281
the university of aston in birmingham,england,All undergraduate,all,total,total,4126
the university of aston in birmingham,england,all,full-time,total,total,4487
the university of aston in birmingham,england,all,part-time,total,total,1001
the university of aston in birmingham,england,all,all,domicile,total uk,4794
the university of aston in birmingham,england,all,all,domicile,total non-uk,694
bath college of he,england,all,all,total,total,2696
bath college of he,england,All postgraduate,full-time,total,total,200
bath college of he,england,All postgraduate,part-time,total,total,340
bath college of he,england,All postgraduate,all,domicile,total uk,536
bath college of he,england,All postgraduate,all,domicile,total non-uk,4
bath college of he,england,All postgraduate,all,total,total,540
bath college of he,england,All undergraduate,full-time,total,total,1937
bath college of he,england,All undergraduate,part-time,total,total,219
bath college of he,england,All undergraduate,all,domicile,total uk,2038
bath college of he,england,All undergraduate,all,domicile,total non-uk,118
bath college of he,england,All undergraduate,all,total,total,2156
bath college of he,england,all,full-time,total,total,2137
bath college of he,england,all,part-time,total,total,559
bath college of he,england,all,all,domicile,total uk,2574
bath college of he,england,all,all,domicile,total non-uk,122
the university of bath,england,all,all,total,total,8044
the university of bath,england,All postgraduate,full-time,total,total,805
the university of bath,england,All postgraduate,part-time,total,total,2308
the university of bath,england,All postgraduate,all,domicile,total uk,1937
the university of bath,england,All postgraduate,all,domicile,total non-uk,1176
the university of bath,england,All postgraduate,all,total,total,3113
the university of bath,england,All undergraduate,full-time,total,total,4931
the university of bath,england,All undergraduate,part-time,total,total,0
the university of bath,england,All undergraduate,all,domicile,total uk,4306
the university of bath,england,All undergraduate,all,domicile,total non-uk,625
the university of bath,england,All undergraduate,all,total,total,4931
the university of bath,england,all,full-time,total,total,5736
the university of bath,england,all,part-time,total,total,2308
the university of bath,england,all,all,domicile,total uk,6243
the university of bath,england,all,all,domicile,total non-uk,1801
birkbeck college,england,all,all,total,total,11213
birkbeck college,england,All postgraduate,full-time,total,total,365
birkbeck college,england,All postgraduate,part-time,total,total,1992
birkbeck college,england,All postgraduate,all,domicile,total uk,2205
birkbeck college,england,All postgraduate,all,domicile,total non-uk,152
birkbeck college,england,All postgraduate,all,total,total,2357
birkbeck college,england,All undergraduate,full-time,total,total,84
birkbeck college,england,All undergraduate,part-time,total,total,8772
birkbeck college,england,All undergraduate,all,domicile,total uk,8730
birkbeck college,england,All undergraduate,all,domicile,total non-uk,126
birkbeck college,england,All undergraduate,all,total,total,8856
birkbeck college,england,all,full-time,total,total,449
birkbeck college,england,all,part-time,total,total,10764
birkbeck college,england,all,all,domicile,total uk,10935
birkbeck college,england,all,all,domicile,total non-uk,278
the university of birmingham,england,all,all,total,total,22567
the university of birmingham,england,All postgraduate,full-time,total,total,3523
the university of birmingham,england,All postgraduate,part-time,total,total,3876
the university of birmingham,england,All postgraduate,all,domicile,total uk,5534
the university of birmingham,england,All postgraduate,all,domicile,total non-uk,1865
the university of birmingham,england,All postgraduate,all,total,total,7399
the university of birmingham,england,All undergraduate,full-time,total,total,12604
the university of birmingham,england,All undergraduate,part-time,total,total,2564
the university of birmingham,england,All undergraduate,all,domicile,total uk,13994
the university of birmingham,england,All undergraduate,all,domicile,total non-uk,1174
the university of birmingham,england,All undergraduate,all,total,total,15168
the university of birmingham,england,all,full-time,total,total,16127
the university of birmingham,england,all,part-time,total,total,6440
the university of birmingham,england,all,all,domicile,total uk,19528
the university of birmingham,england,all,all,domicile,total non-uk,3039
bishop grosseteste college,england,all,all,total,total,906
bishop grosseteste college,england,All postgraduate,full-time,total,total,40
bishop grosseteste college,england,All postgraduate,part-time,total,total,40
bishop grosseteste college,england,All postgraduate,all,domicile,total uk,78
bishop grosseteste college,england,All postgraduate,all,domicile,total non-uk,2
bishop grosseteste college,england,All postgraduate,all,total,total,80
bishop grosseteste college,england,All undergraduate,full-time,total,total,801
bishop grosseteste college,england,All undergraduate,part-time,total,total,25
bishop grosseteste college,england,All undergraduate,all,domicile,total uk,824
bishop grosseteste college,england,All undergraduate,all,domicile,total non-uk,2
bishop grosseteste college,england,All undergraduate,all,total,total,826
bishop grosseteste college,england,all,full-time,total,total,841
bishop grosseteste college,england,all,part-time,total,total,65
bishop grosseteste college,england,all,all,domicile,total uk,902
bishop grosseteste college,england,all,all,domicile,total non-uk,4
bolton institute of higher education,england,all,all,total,total,6899
bolton institute of higher education,england,All postgraduate,full-time,total,total,351
bolton institute of higher education,england,All postgraduate,part-time,total,total,675
bolton institute of higher education,england,All postgraduate,all,domicile,total uk,987
bolton institute of higher education,england,All postgraduate,all,domicile,total non-uk,39
bolton institute of higher education,england,All postgraduate,all,total,total,1026
bolton institute of higher education,england,All undergraduate,full-time,total,total,3675
bolton institute of higher education,england,All undergraduate,part-time,total,total,2198
bolton institute of higher education,england,All undergraduate,all,domicile,total uk,5388
bolton institute of higher education,england,All undergraduate,all,domicile,total non-uk,485
bolton institute of higher education,england,All undergraduate,all,total,total,5873
bolton institute of higher education,england,all,full-time,total,total,4026
bolton institute of higher education,england,all,part-time,total,total,2873
bolton institute of higher education,england,all,all,domicile,total uk,6375
bolton institute of higher education,england,all,all,domicile,total non-uk,524
bournemouth university,england,all,all,total,total,9444
bournemouth university,england,All postgraduate,full-time,total,total,397
bournemouth university,england,All postgraduate,part-time,total,total,463
bournemouth university,england,All postgraduate,all,domicile,total uk,717
bournemouth university,england,All postgraduate,all,domicile,total non-uk,143
bournemouth university,england,All postgraduate,all,total,total,860
bournemouth university,england,All undergraduate,full-time,total,total,7273
bournemouth university,england,All undergraduate,part-time,total,total,1311
bournemouth university,england,All undergraduate,all,domicile,total uk,8210
bournemouth university,england,All undergraduate,all,domicile,total non-uk,374
bournemouth university,england,All undergraduate,all,total,total,8584
bournemouth university,england,all,full-time,total,total,7670
bournemouth university,england,all,part-time,total,total,1774
bournemouth university,england,all,all,domicile,total uk,8927
bournemouth university,england,all,all,domicile,total non-uk,517
the university of bradford,england,all,all,total,total,9123
the university of bradford,england,All postgraduate,full-time,total,total,770
the university of bradford,england,All postgraduate,part-time,total,total,1865
the university of bradford,england,All postgraduate,all,domicile,total uk,1635
the university of bradford,england,All postgraduate,all,domicile,total non-uk,1000
the university of bradford,england,All postgraduate,all,total,total,2635
the university of bradford,england,All undergraduate,full-time,total,total,6113
the university of bradford,england,All undergraduate,part-time,total,total,375
the university of bradford,england,All undergraduate,all,domicile,total uk,5719
the university of bradford,england,All undergraduate,all,domicile,total non-uk,769
the university of bradford,england,All undergraduate,all,total,total,6488
the university of bradford,england,all,full-time,total,total,6883
the university of bradford,england,all,part-time,total,total,2240
the university of bradford,england,all,all,domicile,total uk,7354
the university of bradford,england,all,all,domicile,total non-uk,1769
bretton hall college of he,england,all,all,total,total,2359
bretton hall college of he,england,All postgraduate,full-time,total,total,252
bretton hall college of he,england,All postgraduate,part-time,total,total,201
bretton hall college of he,england,All postgraduate,all,domicile,total uk,445
bretton hall college of he,england,All postgraduate,all,domicile,total non-uk,8
bretton hall college of he,england,All postgraduate,all,total,total,453
bretton hall college of he,england,All undergraduate,full-time,total,total,1894
bretton hall college of he,england,All undergraduate,part-time,total,total,12
bretton hall college of he,england,All undergraduate,all,domicile,total uk,1891
bretton hall college of he,england,All undergraduate,all,domicile,total non-uk,15
bretton hall college of he,england,All undergraduate,all,total,total,1906
bretton hall college of he,england,all,full-time,total,total,2146
bretton hall college of he,england,all,part-time,total,total,213
bretton hall college of he,england,all,all,domicile,total uk,2336
bretton hall college of he,england,all,all,domicile,total non-uk,23
the university of brighton,england,all,all,total,total,14192
the university of brighton,england,All postgraduate,full-time,total,total,515
the university of brighton,england,All postgraduate,part-time,total,total,1110
the university of brighton,england,All postgraduate,all,domicile,total uk,1495
the university of brighton,england,All postgraduate,all,domicile,total non-uk,130
the university of brighton,england,All postgraduate,all,total,total,1625
the university of brighton,england,All undergraduate,full-time,total,total,8991
the university of brighton,england,All undergraduate,part-time,total,total,3576
the university of brighton,england,All undergraduate,all,domicile,total uk,11425
the university of brighton,england,All undergraduate,all,domicile,total non-uk,1142
the university of brighton,england,All undergraduate,all,total,total,12567
the university of brighton,england,all,full-time,total,total,9506
the university of brighton,england,all,part-time,total,total,4686
the university of brighton,england,all,all,domicile,total uk,12920
the university of brighton,england,all,all,domicile,total non-uk,1272
the university of bristol,england,all,all,total,total,17566
the university of bristol,england,All postgraduate,full-time,total,total,1945
the university of bristol,england,All postgraduate,part-time,total,total,2626
the university of bristol,england,All postgraduate,all,domicile,total uk,3635
the university of bristol,england,All postgraduate,all,domicile,total non-uk,936
the university of bristol,england,All postgraduate,all,total,total,4571
the university of bristol,england,All undergraduate,full-time,total,total,8785
the university of bristol,england,All undergraduate,part-time,total,total,4210
the university of bristol,england,All undergraduate,all,domicile,total uk,11937
the university of bristol,england,All undergraduate,all,domicile,total non-uk,1058
the university of bristol,england,All undergraduate,all,total,total,12995
the university of bristol,england,all,full-time,total,total,10730
the university of bristol,england,all,part-time,total,total,6836
the university of bristol,england,all,all,domicile,total uk,15572
the university of bristol,england,all,all,domicile,total non-uk,1994
brunel university,england,all,all,total,total,13921
brunel university,england,All postgraduate,full-time,total,total,1212
brunel university,england,All postgraduate,part-time,total,total,3660
brunel university,england,All postgraduate,all,domicile,total uk,3742
brunel university,england,All postgraduate,all,domicile,total non-uk,1130
brunel university,england,All postgraduate,all,total,total,4872
brunel university,england,All undergraduate,full-time,total,total,8200
brunel university,england,All undergraduate,part-time,total,total,849
brunel university,england,All undergraduate,all,domicile,total uk,8431
brunel university,england,All undergraduate,all,domicile,total non-uk,618
brunel university,england,All undergraduate,all,total,total,9049
brunel university,england,all,full-time,total,total,9412
brunel university,england,all,part-time,total,total,4509
brunel university,england,all,all,domicile,total uk,12173
brunel university,england,all,all,domicile,total non-uk,1748
buckinghamshire college of he,england,all,all,total,total,7567
buckinghamshire college of he,england,All postgraduate,full-time,total,total,138
buckinghamshire college of he,england,All postgraduate,part-time,total,total,822
buckinghamshire college of he,england,All postgraduate,all,domicile,total uk,583
buckinghamshire college of he,england,All postgraduate,all,domicile,total non-uk,377
buckinghamshire college of he,england,All postgraduate,all,total,total,960
buckinghamshire college of he,england,All undergraduate,full-time,total,total,5161
