HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,2362815
all,all,All postgraduate,all,total,total,559390
all,all,All postgraduate,full-time,total,total,243070
all,all,All postgraduate,part-time,total,total,316320
all,all,All postgraduate,all,domicile,total uk,375145
all,all,All postgraduate,all,domicile,total non-uk,184245
all,all,All undergraduate,all,total,total,1803425
all,all,All undergraduate,full-time,total,total,1208645
all,all,All undergraduate,part-time,total,total,594780
all,all,All undergraduate,all,domicile,total uk,1636200
all,all,All undergraduate,all,domicile,total non-uk,167225
all,all,all,full-time,total,total,1451715
all,all,all,part-time,total,total,911100
all,all,all,all,domicile,total uk,2011345
all,all,all,all,domicile,total non-uk,351470
total,england,all,all,total,total,1957190
total,england,All postgraduate,all,total,total,462430
total,england,All postgraduate,full-time,total,total,201830
total,england,All postgraduate,part-time,total,total,260605
total,england,All postgraduate,all,domicile,total uk,310255
total,england,All postgraduate,all,domicile,total non-uk,152180
total,england,All undergraduate,all,total,total,1494760
total,england,All undergraduate,full-time,total,total,985810
total,england,All undergraduate,part-time,total,total,508955
total,england,All undergraduate,all,domicile,total uk,1356055
total,england,All undergraduate,all,domicile,total non-uk,138705
total,england,all,full-time,total,total,1187640
total,england,all,part-time,total,total,769560
total,england,all,all,domicile,total uk,1666310
total,england,all,all,domicile,total non-uk,290885
anglia ruskin university,england,all,all,total,total,20300
anglia ruskin university,england,All postgraduate,all,total,total,3445
anglia ruskin university,england,All postgraduate,full-time,total,total,765
anglia ruskin university,england,All postgraduate,part-time,total,total,2680
anglia ruskin university,england,All postgraduate,all,domicile,total uk,2765
anglia ruskin university,england,All postgraduate,all,domicile,total non-uk,680
anglia ruskin university,england,All undergraduate,all,total,total,16855
anglia ruskin university,england,All undergraduate,full-time,total,total,9265
anglia ruskin university,england,All undergraduate,part-time,total,total,7590
anglia ruskin university,england,All undergraduate,all,domicile,total uk,15530
anglia ruskin university,england,All undergraduate,all,domicile,total non-uk,1325
anglia ruskin university,england,all,full-time,total,total,10030
anglia ruskin university,england,all,part-time,total,total,10270
anglia ruskin university,england,all,all,domicile,total uk,18295
anglia ruskin university,england,all,all,domicile,total non-uk,2005
aston university,england,all,all,total,total,9555
aston university,england,All postgraduate,all,total,total,2530
aston university,england,All postgraduate,full-time,total,total,1315
aston university,england,All postgraduate,part-time,total,total,1215
aston university,england,All postgraduate,all,domicile,total uk,1315
aston university,england,All postgraduate,all,domicile,total non-uk,1215
aston university,england,All undergraduate,all,total,total,7030
aston university,england,All undergraduate,full-time,total,total,6700
aston university,england,All undergraduate,part-time,total,total,330
aston university,england,All undergraduate,all,domicile,total uk,6055
aston university,england,All undergraduate,all,domicile,total non-uk,970
aston university,england,all,full-time,total,total,8015
aston university,england,all,part-time,total,total,1545
aston university,england,all,all,domicile,total uk,7370
aston university,england,all,all,domicile,total non-uk,2185
bath spa university,england,all,all,total,total,7110
bath spa university,england,All postgraduate,all,total,total,2605
bath spa university,england,All postgraduate,full-time,total,total,615
