HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
The University of Aberdeen,Scotland,All,All,Domicile,Total Non-UK,3970
The University of Aberdeen,Scotland,All,All,Total,Total,14035
The University of Aberdeen,Scotland,All,Full-time,Total,Total,11810
The University of Aberdeen,Scotland,All,Part-time,Total,Total,2225
ABI College Limited,England,All,All,Domicile,Total Non-UK,0
ABI College Limited,England,All,All,Total,Total,110
ABI College Limited,England,All,Full-time,Total,Total,110
Abertay University,Scotland,All,All,Domicile,Total Non-UK,475
Abertay University,Scotland,All,All,Total,Total,4220
Abertay University,Scotland,All,Full-time,Total,Total,3815
Abertay University,Scotland,All,Part-time,Total,Total,410
Aberystwyth University,Wales,All,All,Domicile,Total Non-UK,1375
Aberystwyth University,Wales,All,All,Total,Total,9835
Aberystwyth University,Wales,All,Full-time,Total,Total,7775
Aberystwyth University,Wales,All,Part-time,Total,Total,2065
Access to Music Limited,England,All,All,Domicile,Total Non-UK,5
Access to Music Limited,England,All,All,Total,Total,70
Access to Music Limited,England,All,Full-time,Total,Total,70
Academy of Live and Recorded Arts,England,All,All,Domicile,Total Non-UK,10
Academy of Live and Recorded Arts,England,All,All,Total,Total,195
Academy of Live and Recorded Arts,England,All,Full-time,Total,Total,195
Anglia Ruskin University,England,All,All,Domicile,Total Non-UK,2720
Anglia Ruskin University,England,All,All,Total,Total,19830
Anglia Ruskin University,England,All,Full-time,Total,Total,14745
Anglia Ruskin University,England,All,Part-time,Total,Total,5085
Arts Educational Schools,England,All,All,Domicile,Total Non-UK,15
Arts Educational Schools,England,All,All,Total,Total,245
Arts Educational Schools,England,All,Full-time,Total,Total,235
Arts Educational Schools,England,All,Part-time,Total,Total,10
Aston University,England,All,All,Domicile,Total Non-UK,2530
Aston University,England,All,All,Total,Total,11070
Aston University,England,All,Full-time,Total,Total,9340
Aston University,England,All,Part-time,Total,Total,1725
Bangor University,Wales,All,All,Domicile,Total Non-UK,2295
Bangor University,Wales,All,All,Total,Total,10765
Bangor University,Wales,All,Full-time,Total,Total,8910
Bangor University,Wales,All,Part-time,Total,Total,1855
Bath Spa University,England,All,All,Domicile,Total Non-UK,755
Bath Spa University,England,All,All,Total,Total,7380
Bath Spa University,England,All,Full-time,Total,Total,6310
Bath Spa University,England,All,Part-time,Total,Total,1070
The University of Bath,England,All,All,Domicile,Total Non-UK,4510
The University of Bath,England,All,All,Total,Total,15570
The University of Bath,England,All,Full-time,Total,Total,13310
The University of Bath,England,All,Part-time,Total,Total,2260
University of Bedfordshire,England,All,All,Domicile,Total Non-UK,3360
