HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,2086075
all,all,All postgraduate,all,total,total,469850
all,all,All postgraduate,full-time,total,total,186345
all,all,All postgraduate,part-time,total,total,283505
all,all,All postgraduate,all,domicile,total uk,349425
all,all,All postgraduate,all,domicile,total non-uk,120425
all,all,All undergraduate,all,total,total,1616225
all,all,All undergraduate,full-time,total,total,1069210
all,all,All undergraduate,part-time,total,total,547020
all,all,All undergraduate,all,domicile,total uk,1493895
all,all,All undergraduate,all,domicile,total non-uk,122330
all,all,all,full-time,total,total,1255555
all,all,all,part-time,total,total,830525
all,all,all,all,domicile,total uk,1843320
all,all,all,all,domicile,total non-uk,242755
total,england,all,all,total,total,1726840
total,england,All postgraduate,all,total,total,392335
total,england,All postgraduate,full-time,total,total,155380
total,england,All postgraduate,part-time,total,total,236955
total,england,All postgraduate,all,domicile,total uk,289850
total,england,All postgraduate,all,domicile,total non-uk,102480
total,england,All undergraduate,all,total,total,1334505
total,england,All undergraduate,full-time,total,total,862735
total,england,All undergraduate,part-time,total,total,471770
total,england,All undergraduate,all,domicile,total uk,1231595
total,england,All undergraduate,all,domicile,total non-uk,102915
total,england,all,full-time,total,total,1018115
total,england,all,part-time,total,total,708725
total,england,all,all,domicile,total uk,1521445
total,england,all,all,domicile,total non-uk,205395
anglia polytechnic university,england,all,all,total,total,25735
anglia polytechnic university,england,All postgraduate,all,total,total,3460
anglia polytechnic university,england,All postgraduate,full-time,total,total,645
anglia polytechnic university,england,All postgraduate,part-time,total,total,2815
anglia polytechnic university,england,All postgraduate,all,domicile,total uk,2870
anglia polytechnic university,england,All postgraduate,all,domicile,total non-uk,590
anglia polytechnic university,england,All undergraduate,all,total,total,22275
anglia polytechnic university,england,All undergraduate,full-time,total,total,9840
anglia polytechnic university,england,All undergraduate,part-time,total,total,12435
anglia polytechnic university,england,All undergraduate,all,domicile,total uk,20505
anglia polytechnic university,england,All undergraduate,all,domicile,total non-uk,1770
anglia polytechnic university,england,all,full-time,total,total,10485
anglia polytechnic university,england,all,part-time,total,total,15250
anglia polytechnic university,england,all,all,domicile,total uk,23375
anglia polytechnic university,england,all,all,domicile,total non-uk,2360
aston university,england,all,all,total,total,7200
aston university,england,All postgraduate,all,total,total,2045
aston university,england,All postgraduate,full-time,total,total,575
aston university,england,All postgraduate,part-time,total,total,1475
aston university,england,All postgraduate,all,domicile,total uk,1470
aston university,england,All postgraduate,all,domicile,total non-uk,575
aston university,england,All undergraduate,all,total,total,5155
aston university,england,All undergraduate,full-time,total,total,5085
aston university,england,All undergraduate,part-time,total,total,70
aston university,england,All undergraduate,all,domicile,total uk,4800
aston university,england,All undergraduate,all,domicile,total non-uk,350
aston university,england,all,full-time,total,total,5660
aston university,england,all,part-time,total,total,1545
aston university,england,all,all,domicile,total uk,6270
aston university,england,all,all,domicile,total non-uk,925
bath spa university college,england,all,all,total,total,4485
bath spa university college,england,All postgraduate,all,total,total,1245
bath spa university college,england,All postgraduate,full-time,total,total,515
bath spa university college,england,All postgraduate,part-time,total,total,730
bath spa university college,england,All postgraduate,all,domicile,total uk,1210
bath spa university college,england,All postgraduate,all,domicile,total non-uk,40
bath spa university college,england,All undergraduate,all,total,total,3235
bath spa university college,england,All undergraduate,full-time,total,total,2945
bath spa university college,england,All undergraduate,part-time,total,total,295
bath spa university college,england,All undergraduate,all,domicile,total uk,3060
bath spa university college,england,All undergraduate,all,domicile,total non-uk,175
bath spa university college,england,all,full-time,total,total,3460
bath spa university college,england,all,part-time,total,total,1025
bath spa university college,england,all,all,domicile,total uk,4270
bath spa university college,england,all,all,domicile,total non-uk,215
the university of bath,england,all,all,total,total,12685
the university of bath,england,All postgraduate,all,total,total,4435
the university of bath,england,All postgraduate,full-time,total,total,1205
the university of bath,england,All postgraduate,part-time,total,total,3230
the university of bath,england,All postgraduate,all,domicile,total uk,2635
the university of bath,england,All postgraduate,all,domicile,total non-uk,1800
the university of bath,england,All undergraduate,all,total,total,8250
the university of bath,england,All undergraduate,full-time,total,total,6615
the university of bath,england,All undergraduate,part-time,total,total,1635
the university of bath,england,All undergraduate,all,domicile,total uk,7570
the university of bath,england,All undergraduate,all,domicile,total non-uk,680
the university of bath,england,all,full-time,total,total,7820
the university of bath,england,all,part-time,total,total,4865
the university of bath,england,all,all,domicile,total uk,10205
the university of bath,england,all,all,domicile,total non-uk,2480
birkbeck college,england,all,all,total,total,17840
birkbeck college,england,All postgraduate,all,total,total,3480
birkbeck college,england,All postgraduate,full-time,total,total,650
birkbeck college,england,All postgraduate,part-time,total,total,2825
birkbeck college,england,All postgraduate,all,domicile,total uk,3095
birkbeck college,england,All postgraduate,all,domicile,total non-uk,385
birkbeck college,england,All undergraduate,all,total,total,14365
birkbeck college,england,All undergraduate,full-time,total,total,10
birkbeck college,england,All undergraduate,part-time,total,total,14355
birkbeck college,england,All undergraduate,all,domicile,total uk,14320
birkbeck college,england,All undergraduate,all,domicile,total non-uk,45
birkbeck college,england,all,full-time,total,total,660
birkbeck college,england,all,part-time,total,total,17180
birkbeck college,england,all,all,domicile,total uk,17415
birkbeck college,england,all,all,domicile,total non-uk,430
the university of birmingham,england,all,all,total,total,29245
the university of birmingham,england,All postgraduate,all,total,total,10825
the university of birmingham,england,All postgraduate,full-time,total,total,4420
the university of birmingham,england,All postgraduate,part-time,total,total,6410
the university of birmingham,england,All postgraduate,all,domicile,total uk,7365
the university of birmingham,england,All postgraduate,all,domicile,total non-uk,3460
the university of birmingham,england,All undergraduate,all,total,total,18415
the university of birmingham,england,All undergraduate,full-time,total,total,14955
the university of birmingham,england,All undergraduate,part-time,total,total,3465
the university of birmingham,england,All undergraduate,all,domicile,total uk,17065
the university of birmingham,england,All undergraduate,all,domicile,total non-uk,1355
the university of birmingham,england,all,full-time,total,total,19375
the university of birmingham,england,all,part-time,total,total,9875
the university of birmingham,england,all,all,domicile,total uk,24430
the university of birmingham,england,all,all,domicile,total non-uk,4815
bishop grosseteste college,england,all,all,total,total,1130
bishop grosseteste college,england,All postgraduate,all,total,total,320
bishop grosseteste college,england,All postgraduate,full-time,total,total,50
bishop grosseteste college,england,All postgraduate,part-time,total,total,270
bishop grosseteste college,england,All postgraduate,all,domicile,total uk,320
bishop grosseteste college,england,All postgraduate,all,domicile,total non-uk,0
bishop grosseteste college,england,All undergraduate,all,total,total,810
bishop grosseteste college,england,All undergraduate,full-time,total,total,805
bishop grosseteste college,england,All undergraduate,part-time,total,total,0
bishop grosseteste college,england,All undergraduate,all,domicile,total uk,805
bishop grosseteste college,england,All undergraduate,all,domicile,total non-uk,0
bishop grosseteste college,england,all,full-time,total,total,855
bishop grosseteste college,england,all,part-time,total,total,270
bishop grosseteste college,england,all,all,domicile,total uk,1125
bishop grosseteste college,england,all,all,domicile,total non-uk,0
bolton institute of higher education,england,all,all,total,total,6665
bolton institute of higher education,england,All postgraduate,all,total,total,1285
