HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,2306105
all,all,All postgraduate,all,total,total,501135
all,all,All postgraduate,full-time,total,total,248380
all,all,All postgraduate,part-time,total,total,252755
all,all,All postgraduate,all,domicile,total uk,333655
all,all,All postgraduate,all,domicile,total non-uk,167480
all,all,All undergraduate,all,total,total,1804970
all,all,All undergraduate,full-time,total,total,1232005
all,all,All undergraduate,part-time,total,total,572965
all,all,All undergraduate,all,domicile,total uk,1630660
all,all,All undergraduate,all,domicile,total non-uk,174310
all,all,all,full-time,total,total,1480385
all,all,all,part-time,total,total,825720
all,all,all,all,domicile,total uk,1964315
all,all,all,all,domicile,total non-uk,341790
total,england,all,all,total,total,1922180
total,england,All postgraduate,all,total,total,417165
total,england,All postgraduate,full-time,total,total,206865
total,england,All postgraduate,part-time,total,total,210300
total,england,All postgraduate,all,domicile,total uk,277915
total,england,All postgraduate,all,domicile,total non-uk,139250
total,england,All undergraduate,all,total,total,1505015
total,england,All undergraduate,full-time,total,total,1011955
total,england,All undergraduate,part-time,total,total,493060
total,england,All undergraduate,all,domicile,total uk,1360015
total,england,All undergraduate,all,domicile,total non-uk,145000
total,england,all,full-time,total,total,1218820
total,england,all,part-time,total,total,703360
total,england,all,all,domicile,total uk,1637930
total,england,all,all,domicile,total non-uk,284250
anglia ruskin university,england,all,all,total,total,19005
anglia ruskin university,england,All postgraduate,all,total,total,2305
anglia ruskin university,england,All postgraduate,full-time,total,total,715
anglia ruskin university,england,All postgraduate,part-time,total,total,1595
anglia ruskin university,england,All postgraduate,all,domicile,total uk,1870
anglia ruskin university,england,All postgraduate,all,domicile,total non-uk,435
anglia ruskin university,england,All undergraduate,all,total,total,16700
anglia ruskin university,england,All undergraduate,full-time,total,total,9415
anglia ruskin university,england,All undergraduate,part-time,total,total,7285
anglia ruskin university,england,All undergraduate,all,domicile,total uk,15280
anglia ruskin university,england,All undergraduate,all,domicile,total non-uk,1420
anglia ruskin university,england,all,full-time,total,total,10130
anglia ruskin university,england,all,part-time,total,total,8880
anglia ruskin university,england,all,all,domicile,total uk,17150
anglia ruskin university,england,all,all,domicile,total non-uk,1855
aston university,england,all,all,total,total,9570
aston university,england,All postgraduate,all,total,total,2415
aston university,england,All postgraduate,full-time,total,total,1610
aston university,england,All postgraduate,part-time,total,total,800
aston university,england,All postgraduate,all,domicile,total uk,1065
aston university,england,All postgraduate,all,domicile,total non-uk,1350
aston university,england,All undergraduate,all,total,total,7155
aston university,england,All undergraduate,full-time,total,total,6825
aston university,england,All undergraduate,part-time,total,total,330
aston university,england,All undergraduate,all,domicile,total uk,6000
aston university,england,All undergraduate,all,domicile,total non-uk,1155
aston university,england,all,full-time,total,total,8435
aston university,england,all,part-time,total,total,1130
aston university,england,all,all,domicile,total uk,7065
aston university,england,all,all,domicile,total non-uk,2505
bath spa university,england,all,all,total,total,7470
bath spa university,england,All postgraduate,all,total,total,2585
bath spa university,england,All postgraduate,full-time,total,total,655
bath spa university,england,All postgraduate,part-time,total,total,1935
bath spa university,england,All postgraduate,all,domicile,total uk,2545
bath spa university,england,All postgraduate,all,domicile,total non-uk,40
bath spa university,england,All undergraduate,all,total,total,4880
bath spa university,england,All undergraduate,full-time,total,total,4360
bath spa university,england,All undergraduate,part-time,total,total,525
bath spa university,england,All undergraduate,all,domicile,total uk,4750
bath spa university,england,All undergraduate,all,domicile,total non-uk,130
bath spa university,england,all,full-time,total,total,5015
bath spa university,england,all,part-time,total,total,2460
bath spa university,england,all,all,domicile,total uk,7295
bath spa university,england,all,all,domicile,total non-uk,170
the university of bath,england,all,all,total,total,12965
the university of bath,england,All postgraduate,all,total,total,3890
the university of bath,england,All postgraduate,full-time,total,total,1515
the university of bath,england,All postgraduate,part-time,total,total,2375
the university of bath,england,All postgraduate,all,domicile,total uk,2485
the university of bath,england,All postgraduate,all,domicile,total non-uk,1405
the university of bath,england,All undergraduate,all,total,total,9075
the university of bath,england,All undergraduate,full-time,total,total,8745
the university of bath,england,All undergraduate,part-time,total,total,330
the university of bath,england,All undergraduate,all,domicile,total uk,7165
the university of bath,england,All undergraduate,all,domicile,total non-uk,1910
the university of bath,england,all,full-time,total,total,10260
the university of bath,england,all,part-time,total,total,2705
the university of bath,england,all,all,domicile,total uk,9650
the university of bath,england,all,all,domicile,total non-uk,3315
university of bedfordshire,england,all,all,total,total,14195
university of bedfordshire,england,All postgraduate,all,total,total,1995
university of bedfordshire,england,All postgraduate,full-time,total,total,1005
university of bedfordshire,england,All postgraduate,part-time,total,total,990
university of bedfordshire,england,All postgraduate,all,domicile,total uk,920
university of bedfordshire,england,All postgraduate,all,domicile,total non-uk,1075
university of bedfordshire,england,All undergraduate,all,total,total,12200
university of bedfordshire,england,All undergraduate,full-time,total,total,8085
university of bedfordshire,england,All undergraduate,part-time,total,total,4115
university of bedfordshire,england,All undergraduate,all,domicile,total uk,9935
university of bedfordshire,england,All undergraduate,all,domicile,total non-uk,2265
university of bedfordshire,england,all,full-time,total,total,9090
university of bedfordshire,england,all,part-time,total,total,5105
university of bedfordshire,england,all,all,domicile,total uk,10855
university of bedfordshire,england,all,all,domicile,total non-uk,3340
birkbeck college,england,all,all,total,total,17225
birkbeck college,england,All postgraduate,all,total,total,3075
birkbeck college,england,All postgraduate,full-time,total,total,725
birkbeck college,england,All postgraduate,part-time,total,total,2350
birkbeck college,england,All postgraduate,all,domicile,total uk,2605
birkbeck college,england,All postgraduate,all,domicile,total non-uk,470
birkbeck college,england,All undergraduate,all,total,total,14150
birkbeck college,england,All undergraduate,full-time,total,total,165
birkbeck college,england,All undergraduate,part-time,total,total,13980
birkbeck college,england,All undergraduate,all,domicile,total uk,13420
birkbeck college,england,All undergraduate,all,domicile,total non-uk,730
birkbeck college,england,all,full-time,total,total,890
birkbeck college,england,all,part-time,total,total,16330
birkbeck college,england,all,all,domicile,total uk,16025
birkbeck college,england,all,all,domicile,total non-uk,1200
birmingham city university,england,all,all,total,total,23245
birmingham city university,england,All postgraduate,all,total,total,3485
birmingham city university,england,All postgraduate,full-time,total,total,1320
birmingham city university,england,All postgraduate,part-time,total,total,2165
birmingham city university,england,All postgraduate,all,domicile,total uk,2615
birmingham city university,england,All postgraduate,all,domicile,total non-uk,870
birmingham city university,england,All undergraduate,all,total,total,19760
birmingham city university,england,All undergraduate,full-time,total,total,13695
birmingham city university,england,All undergraduate,part-time,total,total,6065
birmingham city university,england,All undergraduate,all,domicile,total uk,18755
birmingham city university,england,All undergraduate,all,domicile,total non-uk,1005
birmingham city university,england,all,full-time,total,total,15015
birmingham city university,england,all,part-time,total,total,8230
birmingham city university,england,all,all,domicile,total uk,21370
birmingham city university,england,all,all,domicile,total non-uk,1875
the university of birmingham,england,all,all,total,total,28240
the university of birmingham,england,All postgraduate,all,total,total,10210
the university of birmingham,england,All postgraduate,full-time,total,total,5475
the university of birmingham,england,All postgraduate,part-time,total,total,4735
the university of birmingham,england,All postgraduate,all,domicile,total uk,6720
the university of birmingham,england,All postgraduate,all,domicile,total non-uk,3490
the university of birmingham,england,All undergraduate,all,total,total,18030
the university of birmingham,england,All undergraduate,full-time,total,total,16055
the university of birmingham,england,All undergraduate,part-time,total,total,1975
the university of birmingham,england,All undergraduate,all,domicile,total uk,16390
the university of birmingham,england,All undergraduate,all,domicile,total non-uk,1640
the university of birmingham,england,all,full-time,total,total,21530
the university of birmingham,england,all,part-time,total,total,6710
the university of birmingham,england,all,all,domicile,total uk,23110
the university of birmingham,england,all,all,domicile,total non-uk,5130
university college birmingham,england,all,all,total,total,3920
university college birmingham,england,All postgraduate,all,total,total,375
university college birmingham,england,All postgraduate,full-time,total,total,295
university college birmingham,england,All postgraduate,part-time,total,total,75
university college birmingham,england,All postgraduate,all,domicile,total uk,85
university college birmingham,england,All postgraduate,all,domicile,total non-uk,290
university college birmingham,england,All undergraduate,all,total,total,3545
university college birmingham,england,All undergraduate,full-time,total,total,2670
university college birmingham,england,All undergraduate,part-time,total,total,875
university college birmingham,england,All undergraduate,all,domicile,total uk,2915
university college birmingham,england,All undergraduate,all,domicile,total non-uk,630
university college birmingham,england,all,full-time,total,total,2965
university college birmingham,england,all,part-time,total,total,950
university college birmingham,england,all,all,domicile,total uk,3000
university college birmingham,england,all,all,domicile,total non-uk,920
bishop grosseteste university college lincoln,england,all,all,total,total,1915
bishop grosseteste university college lincoln,england,All postgraduate,all,total,total,600
bishop grosseteste university college lincoln,england,All postgraduate,full-time,total,total,80
bishop grosseteste university college lincoln,england,All postgraduate,part-time,total,total,520
bishop grosseteste university college lincoln,england,All postgraduate,all,domicile,total uk,575
bishop grosseteste university college lincoln,england,All postgraduate,all,domicile,total non-uk,25
bishop grosseteste university college lincoln,england,All undergraduate,all,total,total,1315
bishop grosseteste university college lincoln,england,All undergraduate,full-time,total,total,1315
bishop grosseteste university college lincoln,england,All undergraduate,part-time,total,total,5
bishop grosseteste university college lincoln,england,All undergraduate,all,domicile,total uk,1315
bishop grosseteste university college lincoln,england,All undergraduate,all,domicile,total non-uk,0
bishop grosseteste university college lincoln,england,all,full-time,total,total,1395
bishop grosseteste university college lincoln,england,all,part-time,total,total,525
bishop grosseteste university college lincoln,england,all,all,domicile,total uk,1890
bishop grosseteste university college lincoln,england,all,all,domicile,total non-uk,25
the university of bolton,england,all,all,total,total,7845
the university of bolton,england,All postgraduate,all,total,total,1465
the university of bolton,england,All postgraduate,full-time,total,total,640
the university of bolton,england,All postgraduate,part-time,total,total,825
the university of bolton,england,All postgraduate,all,domicile,total uk,1180
the university of bolton,england,All postgraduate,all,domicile,total non-uk,285
the university of bolton,england,All undergraduate,all,total,total,6380
the university of bolton,england,All undergraduate,full-time,total,total,3735
the university of bolton,england,All undergraduate,part-time,total,total,2645
the university of bolton,england,All undergraduate,all,domicile,total uk,5890
the university of bolton,england,All undergraduate,all,domicile,total non-uk,490
the university of bolton,england,all,full-time,total,total,4375
the university of bolton,england,all,part-time,total,total,3470
the university of bolton,england,all,all,domicile,total uk,7070
the university of bolton,england,all,all,domicile,total non-uk,775
the arts institute at bournemouth,england,all,all,total,total,2000
the arts institute at bournemouth,england,All postgraduate,all,total,total,20
the arts institute at bournemouth,england,All postgraduate,full-time,total,total,20
the arts institute at bournemouth,england,All postgraduate,part-time,total,total,0
the arts institute at bournemouth,england,All postgraduate,all,domicile,total uk,15
the arts institute at bournemouth,england,All postgraduate,all,domicile,total non-uk,5
the arts institute at bournemouth,england,All undergraduate,all,total,total,1980
the arts institute at bournemouth,england,All undergraduate,full-time,total,total,1885
the arts institute at bournemouth,england,All undergraduate,part-time,total,total,100
the arts institute at bournemouth,england,All undergraduate,all,domicile,total uk,1795
the arts institute at bournemouth,england,All undergraduate,all,domicile,total non-uk,185
the arts institute at bournemouth,england,all,full-time,total,total,1905
the arts institute at bournemouth,england,all,part-time,total,total,100
the arts institute at bournemouth,england,all,all,domicile,total uk,1810
the arts institute at bournemouth,england,all,all,domicile,total non-uk,190
bournemouth university,england,all,all,total,total,17875
bournemouth university,england,All postgraduate,all,total,total,2280
bournemouth university,england,All postgraduate,full-time,total,total,1395
bournemouth university,england,All postgraduate,part-time,total,total,885
bournemouth university,england,All postgraduate,all,domicile,total uk,1185
bournemouth university,england,All postgraduate,all,domicile,total non-uk,1095
bournemouth university,england,All undergraduate,all,total,total,15595
bournemouth university,england,All undergraduate,full-time,total,total,11260
bournemouth university,england,All undergraduate,part-time,total,total,4335
bournemouth university,england,All undergraduate,all,domicile,total uk,14665
bournemouth university,england,All undergraduate,all,domicile,total non-uk,930
bournemouth university,england,all,full-time,total,total,12655
bournemouth university,england,all,part-time,total,total,5220
bournemouth university,england,all,all,domicile,total uk,15850
bournemouth university,england,all,all,domicile,total non-uk,2025
the university of bradford,england,all,all,total,total,12375
the university of bradford,england,All postgraduate,all,total,total,3040
the university of bradford,england,All postgraduate,full-time,total,total,1430
the university of bradford,england,All postgraduate,part-time,total,total,1610
the university of bradford,england,All postgraduate,all,domicile,total uk,1645
the university of bradford,england,All postgraduate,all,domicile,total non-uk,1395
the university of bradford,england,All undergraduate,all,total,total,9335
the university of bradford,england,All undergraduate,full-time,total,total,8045
the university of bradford,england,All undergraduate,part-time,total,total,1290
the university of bradford,england,All undergraduate,all,domicile,total uk,7565
the university of bradford,england,All undergraduate,all,domicile,total non-uk,1770
the university of bradford,england,all,full-time,total,total,9475
the university of bradford,england,all,part-time,total,total,2900
the university of bradford,england,all,all,domicile,total uk,9210
the university of bradford,england,all,all,domicile,total non-uk,3165
the university of brighton,england,all,all,total,total,21220
the university of brighton,england,All postgraduate,all,total,total,4105
the university of brighton,england,All postgraduate,full-time,total,total,1505
the university of brighton,england,All postgraduate,part-time,total,total,2600
the university of brighton,england,All postgraduate,all,domicile,total uk,3250
the university of brighton,england,All postgraduate,all,domicile,total non-uk,855
the university of brighton,england,All undergraduate,all,total,total,17115
the university of brighton,england,All undergraduate,full-time,total,total,12995
the university of brighton,england,All undergraduate,part-time,total,total,4120
the university of brighton,england,All undergraduate,all,domicile,total uk,15385
the university of brighton,england,All undergraduate,all,domicile,total non-uk,1730
the university of brighton,england,all,full-time,total,total,14500
the university of brighton,england,all,part-time,total,total,6720
the university of brighton,england,all,all,domicile,total uk,18635
the university of brighton,england,all,all,domicile,total non-uk,2585
the university of bristol,england,all,all,total,total,17810
the university of bristol,england,All postgraduate,all,total,total,4840
the university of bristol,england,All postgraduate,full-time,total,total,3085
the university of bristol,england,All postgraduate,part-time,total,total,1755
the university of bristol,england,All postgraduate,all,domicile,total uk,3065
the university of bristol,england,All postgraduate,all,domicile,total non-uk,1775
the university of bristol,england,All undergraduate,all,total,total,12970
