HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
all,all,all,all,total,total,1856330
all,all,All postgraduate,full-time,total,total,151330
all,all,All postgraduate,part-time,total,total,257290
all,all,All postgraduate,all,domicile,total uk,313140
all,all,All postgraduate,all,total,total,408620
all,all,All postgraduate,all,domicile,total non-uk,95480
all,all,All undergraduate,full-time,total,total,1027400
all,all,All undergraduate,part-time,total,total,420310
all,all,All undergraduate,all,domicile,total uk,1318530
all,all,All undergraduate,all,domicile,total non-uk,129180
all,all,All undergraduate,all,total,total,1447710
all,all,all,full-time,total,total,1178730
all,all,all,part-time,total,total,677600
all,all,all,all,domicile,total uk,1631670
all,all,all,all,domicile,total non-uk,224660
total,england,all,all,total,total,1540610
total,england,All postgraduate,full-time,total,total,125490
total,england,All postgraduate,part-time,total,total,216800
total,england,All postgraduate,all,domicile,total uk,262430
total,england,All postgraduate,all,total,total,342290
total,england,All postgraduate,all,domicile,total non-uk,79860
total,england,All undergraduate,full-time,total,total,830430
total,england,All undergraduate,part-time,total,total,367900
total,england,All undergraduate,all,domicile,total uk,1091130
total,england,All undergraduate,all,domicile,total non-uk,107200
total,england,All undergraduate,all,total,total,1198330
total,england,all,full-time,total,total,955920
total,england,all,part-time,total,total,584700
total,england,all,all,domicile,total uk,1353560
total,england,all,all,domicile,total non-uk,187060
anglia polytechnic university,england,all,all,total,total,19250
anglia polytechnic university,england,All postgraduate,full-time,total,total,460
anglia polytechnic university,england,All postgraduate,part-time,total,total,2650
anglia polytechnic university,england,All postgraduate,all,domicile,total uk,2540
anglia polytechnic university,england,All postgraduate,all,total,total,3120
anglia polytechnic university,england,All postgraduate,all,domicile,total non-uk,580
anglia polytechnic university,england,All undergraduate,full-time,total,total,9680
anglia polytechnic university,england,All undergraduate,part-time,total,total,6450
anglia polytechnic university,england,All undergraduate,all,domicile,total uk,14170
anglia polytechnic university,england,All undergraduate,all,domicile,total non-uk,1960
anglia polytechnic university,england,All undergraduate,all,total,total,16130
