HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
AA School of Architecture,England,All,All,Domicile,Total Non-UK,395
AA School of Architecture,England,All,All,Total,Total,470
AA School of Architecture,England,All,Full-time,Total,Total,470
The University of Aberdeen,Scotland,All,All,Domicile,Total Non-UK,4225
The University of Aberdeen,Scotland,All,All,Total,Total,14000
The University of Aberdeen,Scotland,All,Full-time,Total,Total,12020
The University of Aberdeen,Scotland,All,Part-time,Total,Total,1980
ABI College Limited,England,All,All,Domicile,Total Non-UK,0
ABI College Limited,England,All,All,Total,Total,70
ABI College Limited,England,All,Full-time,Total,Total,70
Abertay University,Scotland,All,All,Domicile,Total Non-UK,500
Abertay University,Scotland,All,All,Total,Total,4005
Abertay University,Scotland,All,Full-time,Total,Total,3655
Abertay University,Scotland,All,Part-time,Total,Total,355
Aberystwyth University,Wales,All,All,Domicile,Total Non-UK,1195
Aberystwyth University,Wales,All,All,Total,Total,8755
Aberystwyth University,Wales,All,Full-time,Total,Total,6995
Aberystwyth University,Wales,All,Part-time,Total,Total,1765
Access to Music Limited,England,All,All,Domicile,Total Non-UK,0
Access to Music Limited,England,All,All,Total,Total,70
Access to Music Limited,England,All,Full-time,Total,Total,70
Academy of Live and Recorded Arts,England,All,All,Domicile,Total Non-UK,5
Academy of Live and Recorded Arts,England,All,All,Total,Total,185
Academy of Live and Recorded Arts,England,All,Full-time,Total,Total,185
Anglia Ruskin University,England,All,All,Domicile,Total Non-UK,2980
Anglia Ruskin University,England,All,All,Total,Total,20935
Anglia Ruskin University,England,All,Full-time,Total,Total,16200
Anglia Ruskin University,England,All,Part-time,Total,Total,4735
Apex College London,England,All,All,Domicile,Total Non-UK,0
Apex College London,England,All,All,Total,Total,50
Apex College London,England,All,Full-time,Total,Total,50
Arden University,England,All,All,Domicile,Total Non-UK,10
Arden University,England,All,All,Total,Total,1835
Arden University,England,All,Part-time,Total,Total,1835
Arts Educational Schools,England,All,All,Domicile,Total Non-UK,15
Arts Educational Schools,England,All,All,Total,Total,245
Arts Educational Schools,England,All,Full-time,Total,Total,235
Arts Educational Schools,England,All,Part-time,Total,Total,10
Aston University,England,All,All,Domicile,Total Non-UK,2360
Aston University,England,All,All,Total,Total,12475
Aston University,England,All,Full-time,Total,Total,10460
Aston University,England,All,Part-time,Total,Total,2010
Bangor University,Wales,All,All,Domicile,Total Non-UK,2210
Bangor University,Wales,All,All,Total,Total,10630
Bangor University,Wales,All,Full-time,Total,Total,9010
Bangor University,Wales,All,Part-time,Total,Total,1620
Bath Spa University,England,All,All,Domicile,Total Non-UK,795
Bath Spa University,England,All,All,Total,Total,7630
Bath Spa University,England,All,Full-time,Total,Total,6660
Bath Spa University,England,All,Part-time,Total,Total,970
The University of Bath,England,All,All,Domicile,Total Non-UK,4700
The University of Bath,England,All,All,Total,Total,16155
The University of Bath,England,All,Full-time,Total,Total,14240
The University of Bath,England,All,Part-time,Total,Total,1915
University of Bedfordshire,England,All,All,Domicile,Total Non-UK,2600
University of Bedfordshire,England,All,All,Total,Total,14400
University of Bedfordshire,England,All,Full-time,Total,Total,10215
University of Bedfordshire,England,All,Part-time,Total,Total,4185
Queen's University Belfast,Northern Ireland,All,All,Domicile,Total Non-UK,2805
Queen's University Belfast,Northern Ireland,All,All,Total,Total,23870
Queen's University Belfast,Northern Ireland,All,Full-time,Total,Total,17965
Queen's University Belfast,Northern Ireland,All,Part-time,Total,Total,5905
BIMM University,England,All,All,Domicile,Total Non-UK,600
BIMM University,England,All,All,Total,Total,4365
BIMM University,England,All,Full-time,Total,Total,4365
Birkbeck College,England,All,All,Domicile,Total Non-UK,1270
Birkbeck College,England,All,All,Total,Total,12245
Birkbeck College,England,All,Full-time,Total,Total,3810
Birkbeck College,England,All,Part-time,Total,Total,8435
Birmingham City University,England,All,All,Domicile,Total Non-UK,2820
Birmingham City University,England,All,All,Total,Total,24065
Birmingham City University,England,All,Full-time,Total,Total,19115
Birmingham City University,England,All,Part-time,Total,Total,4950
The University of Birmingham,England,All,All,Domicile,Total Non-UK,7620
The University of Birmingham,England,All,All,Total,Total,33830
The University of Birmingham,England,All,Full-time,Total,Total,27195
The University of Birmingham,England,All,Part-time,Total,Total,6635
University College Birmingham,England,All,All,Domicile,Total Non-UK,1235
University College Birmingham,England,All,All,Total,Total,5025
University College Birmingham,England,All,Full-time,Total,Total,4225
University College Birmingham,England,All,Part-time,Total,Total,800
