university,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,PG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All,Total HE students
Anglia Ruskin University,1490,1630,2060,1060,3120,11330,7600,16405,2525,18930,22050
Aston University,1950,875,1235,1590,2825,7415,660,6355,1720,8075,10900
Bath Spa University,735,2435,3115,55,3170,5120,510,5460,170,5630,8800
The University of Bath,1680,3075,2825,1925,4750,9310,540,7695,2155,9850,14600
University of Bedfordshire,3195,1585,1605,3175,4780,9545,4870,11940,2470,14410,19195
Birkbeck College(#7),870,3565,3810,625,4435,10,14230,13450,790,14240,18670
Birmingham City University,1605,2620,2950,1275,4225,15335,5275,19080,1530,20610,24835
The University of Birmingham,6195,5055,7170,4080,11250,17260,1615,16955,1920,18875,30125
University College Birmingham,395,75,95,375,470,2990,970,3200,760,3960,4435
Bishop Grosseteste University College Lincoln,35,600,620,20,640,1455,55,1505,5,1510,2150
The University of Bolton,555,965,1250,270,1520,4120,3610,7155,575,7730,9250
The Arts University College at Bournemouth,10,5,10,5,15,2350,90,2210,235,2445,2460
Bournemouth University,1465,1180,1490,1155,2645,12345,3320,14725,945,15670,18315
The University of Bradford,1365,1770,2035,1100,3135,8505,1535,8240,1805,10045,13180
The University of Brighton,1530,2475,3215,790,4005,13505,3495,15090,1915,17005,21010
The University of Bristol,4125,1650,3455,2320,5775,12590,1825,12720,1695,14415,20190
Brunel University,3695,1630,2295,3025,5320,10460,625,9650,1430,11080,16405
Buckinghamshire New University,270,515,510,275,785,5020,3555,7685,890,8575,9360
The University of Buckingham,455,35,235,255,490,800,45,340,505,845,1335
The University of Cambridge(#13),5890,1665,3885,3670,7555,12080,1115,11070,2125,13195,20750
The Institute of Cancer Research(#7),115,185,245,55,300,0,0,0,0,0,300
Canterbury Christ Church University,1640,2770,4190,215,4405,8510,5060,12490,1080,13570,17980
The University of Central Lancashire,1470,3165,3520,1115,4635,17700,9960,25110,2550,27660,32295
Central School of Speech and Drama(#7),265,40,190,110,300,555,0,505,50,555,855
University of Chester,815,2585,3150,250,3400,7440,3740,11000,180,11180,14580
The University of Chichester,260,870,1115,20,1135,3375,725,4000,100,4100,5230
The City University,4420,2745,3920,3245,7165,7955,2100,7960,2095,10055,17220
Conservatoire for Dance and Drama,100,25,95,35,130,1030,10,800,235,1035,1165
Courtauld Institute of Art(#7),230,25,155,100,255,150,0,130,20,150,405
Coventry University,2250,2065,2230,2085,4315,13450,5575,16340,2680,19020,23335
