University Name,Total HE Students,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-All,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-All,UG-Total-Overseas
The Royal Scottish Academy of Music and Drama,492,53,26,58,106,21,413,0,392,413,21
St Andrew's College of Education,1380,187,610,752,374,45,583,0,580,583,3
The University of St Andrews,5829,631,305,649,1262,287,4703,190,4220,4893,673
Scottish Agricultural College,1040,84,5,67,168,22,948,3,894,951,57
The Scottish College of Textiles,771,40,4,34,80,10,669,58,709,727,18
The University of Stirling,7991,968,793,1134,1936,627,5469,761,5731,6230,499
The University of Strathclyde,21880,2325,5895,5707,4650,2513,11900,1760,12364,13660,1296
Total Northern Ireland,42407,3884,5718,8110,7768,1492,24511,8294,28411,32805,4394
The Queen's University of Belfast,22016,2351,2330,3924,4702,757,12427,4908,15391,17335,1944
University of Ulster,20391,1533,3388,4186,3066,735,12084,3386,13020,15470,2450
