University,Total HE Students,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,PG-Total-All,UG-Total-All
North Riding College Higher Education Corporation,1346,49,29,78,0,1255,13,1241,27,78,1268
University College Northampton,10055,226,878,990,114,7326,1625,8619,332,1104,8951
Northern School of Contemporary Dance,157,0,0,0,0,157,0,135,22,0,157
The University of Northumbria at Newcastle,21254,969,2450,3014,405,13222,4613,16215,1620,3419,17835
Norwich School of Art and Design,672,5,17,21,1,648,2,623,27,22,650
The Nottingham Trent Universit,22011,938,2139,2803,274,15611,3323,17813,1121,3077,18934
The University of Nottingham,22525,2460,2936,3680,1716,12430,4699,15566,1563,5396,17129
The Open University,148675,451,31307,31758,0,0,116917,116917,0,31758,116917
Oxford Brookes University,13175,1124,1544,2091,577,8233,2274,8761,1746,2668,10507
The University of Oxfor d,20791,4402,1590,3015,2977,11571,3228,13252,1547,5992,14799
The University of Plymouth,21079,555,1921,2218,258,14661,3942,17348,1255,2476,18603
The University of Portsmouth,16389,671,2004,2236,439,11745,1969,11515,2199,2675,13714
Queen Mary and Westfield College,8825,1269,755,1372,652,6618,183,5673,1128,2024,6801
Ravensbourne College of Design and Communication,602,0,0,0,0,602,0,529,73,0,602
The University of Reading,13284,2022,2946,3552,1416,7295,1021,7317,999,4968,8316
The College of Ripon and York St John,4082,148,286,417,17,2965,683,3480,168,434,3648
"University of Surrey, Roehampton",7076,553,589,1006,136,5071,863,5596,338,1142,5934
Rose Bruford College,841,0,54,50,4,517,270,657,130,54,787
Royal Academy of Music,588,275,0,131,144,313,0,211,102,275,313
Royal College of Art,821,768,53,603,218,0,0,0,0,821,0
Royal College of Music,503,123,13,75,61,367,0,280,87,136,367
Royal Holloway and Bedford New College,5971,711,559,867,403,4665,36,3715,986,1270,4701
Royal Northern College of Music,591,136,0,85,51,455,0,386,69,136,455
The Royal Veterinary College,713,102,66,104,64,545,0,456,89,168,545
St George's Hospital Medical School,2423,39,477,477,39,985,922,1838,69,516,1907
College of St Mark and St John,3121,248,695,913,30,2158,20,2056,122,943,2178
St Martin's College,8047,572,2021,2514,79,3544,1910,5369,85,2593,5454
St Mary's College,2799,148,183,317,14,2185,283,2153,315,331,2468
The University of Salford,19269,915,2431,2600,746,12286,3637,14481,1442,3346,15923
The School of Oriental and African Studies,3910,1023,1093,984,1132,1789,5,1151,643,2116,1794
The School of Pharmacy,794,107,250,307,50,434,3,342,95,357,437
Sheffield Hallam University,22925,1264,2997,3616,645,15933,2731,17898,766,4261,18664
The University of Sheffield,26348,3353,3309,5038,1624,15683,4003,17980,1706,6662,19686
South Bank University,21921,1465,3650,4658,457,10880,5926,15224,1582,5115,16806
Southampton Institute,11360,152,542,634,60,8823,1843,9710,956,694,10666
The University of Southampton,20449,2165,2690,3576,1279,12472,3122,14588,1006,4855,15594
Staffordshire University,16607,600,921,1263,258,11756,3330,13992,1094,1521,15086
The University of Sunderland,13427,445,934,1188,191,9291,2757,10842,1206,1379,12048
"The Surrey Institute of Art and Design, University College",2460,22,16,24,14,2324,98,2093,329,38,2422
The University of Surre y,12258,1639,2573,2708,1504,5118,2928,6856,1190,4212,8046
The University of Sussex,12169,1489,1293,1829,953,6986,2401,7706,1681,2782,9387
The University of Teesside,11472,268,1017,1211,74,7367,2820,9668,519,1285,10187
Thames Valley University,14145,363,1245,1512,96,7237,5300,11279,1258,1608,12537
Trinity And All Saints College,2411,167,146,303,10,2014,84,2011,87,313,2098
Trinity College of Music,498,93,45,94,44,360,0,300,60,138,360
University College London,18609,4232,3439,5143,2528,10541,397,8928,2010,7671,10938
The University of Warwick,17315,2640,3385,4236,1789,8117,3173,9796,1494,6025,11290
"University of the West of England, Bristo",23308,1003,2705,3437,271,15225,4375,18288,1312,3708,19600
Westhill College,1323,107,118,180,45,818,280,1065,33,225,1098
Westminster College,1801,175,635,749,61,577,414,970,21,810,991
The University of Westminster,20408,1402,3897,4418,881,9385,5724,13264,1845,5299,15109
Wimbledon School of Art,506,13,88,85,16,405,0,361,44,101,405
The University of Wolverhampton,22607,725,2353,2705,373,13377,6152,16671,2858,3078,19529
University College Worcester,4597,227,202,424,5,2937,1231,4122,46,429,4168
Writtle College,1200,1,36,30,7,1004,159,1005,158,37,1163
Wye College,976,290,191,234,247,495,0,452,43,481,495
The University of York,8367,1292,812,1424,680,5292,971,5748,515,2104,6263
Total Wales,96527,7112,10772,13630,4254,58819,19824,72203,6440,17884,78643
"University of Wales, Aberystwyth",9950,809,1505,1748,566,5918,1718,7002,634,2314,7636
"University of Wales, Bango",8786,835,1310,1206,939,5519,1122,6169,472,2145,6641
Cardiff University,18857,2542,1393,2592,1343,11919,3003,13570,1352,3935,14922
"University of Wales Institute, Cardif",7729,484,680,1028,136,5255,1310,6140,425,1164,6565
University of Glamorgan,16709,573,1776,2053,296,9573,4787,13086,1274,2349,14360
"The University of Wales, Lampete",2038,118,242,241,119,1259,419,1494,184,360,1678
University of Wales College of Medicine,2883,129,598,588,139,2022,134,2035,121,727,2156
"University of Wales College, Newport",7100,219,797,948,68,2710,3374,5716,368,1016,6084
The North-East Wales Institute of Higher Education,4258,40,366,382,24,2499,1353,3577,275,406,3852
Swansea Institute of Higher Educatio,4455,19,485,493,11,2973,978,3783,168,504,3951
"University of Wales, Swansea",11961,1210,1545,2157,598,7609,1597,8138,1068,2755,9206
"Trinity College, Carmarthen",1255,133,65,185,13,1056,1,995,62,198,1057
Welsh College of Music and Drama,546,1,10,9,2,507,28,498,37,11,535
Total Scotland,172923,14651,24230,29298,9583,113700,20342,122269,11773,38881,134042
The University of Aberdeen,11369,1174,1043,1451,766,8298,854,8006,1146,2217,9152
University of Abertay Dundee,3975,335,232,457,110,3133,275,3089,319,567,3408
The University of Dunde,11439,657,1910,1959,608,7307,1565,8171,701,2567,8872
Edinburgh College of Art,1720,264,100,257,107,1356,0,1208,148,364,1356
The University of Edinburgh,22122,2524,2803,3855,1472,15590,1205,14971,1824,5327,16795
Glasgow Caledonian University,14929,850,1285,1801,334,10222,2572,12103,691,2135,12794
Glasgow School of Art,1423,89,19,74,34,1282,33,1152,163,108,1315
The University of Glasgow,21714,1734,1758,2690,802,14521,3701,16700,1522,3492,18222
Heriot-Watt University,7166,706,1567,1691,582,4597,296,4163,730,2273,4893
Napier University,10920,773,802,1381,194,7523,1822,8567,778,1575,9345
