University,Total HE students,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-All,PG-Total-Overseas,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All
North Riding College Higher Education Corporation,1360,60,40,90,90,0,1220,40,1230,40,1270
University College Northampton,9760,280,850,1000,1130,130,6940,1680,8300,320,8620
Northern School of Contemporary Dance,140,0,0,0,0,0,140,0,110,30,140
The University of Northumbria at Newcastle,21560,1010,2360,2850,3360,510,13720,4470,16500,1690,18190
Norwich School of Art and Design,680,20,20,30,30,0,650,0,630,20,650
The Nottingham Trent University,20970,880,2280,2820,3150,330,14640,3180,16930,890,17820
The University of Nottingham,23540,2630,3360,4090,5990,1900,13440,4100,15810,1730,17540
The Open University,153730,450,30060,30520,30520,0,0,123220,123220,0,123220
Oxford Brookes University,13390,1230,1780,2310,3010,700,8570,1810,8750,1630,10380
The University of Oxford,21670,4480,1590,3000,6070,3070,11780,3820,13990,1600,15590
The University of Plymouth,21880,580,2110,2410,2690,280,14610,4580,17890,1300,19190
The University of Portsmouth,16240,770,2070,2320,2850,530,11320,2080,11300,2100,13400
Queen Mary and Westfield College,9010,1400,790,1510,2190,680,6680,150,5820,1010,6830
Ravensbourne College of Design and Communication,690,0,0,0,0,0,690,0,580,110,690
The University of Reading,13390,1990,3000,3510,4990,1480,7390,1010,7310,1090,8400
The College of Ripon and York St John,4120,180,360,540,540,0,2970,610,3420,160,3580
"University of Surrey, Roehampton",7240,610,580,1030,1190,160,5260,800,5580,480,6060
Rose Bruford College,900,20,50,60,70,10,550,270,680,140,820
Royal Academy of Music,600,270,0,120,270,150,340,0,230,110,340
Royal College of Art,830,760,60,610,830,220,0,0,0,0,0
Royal College of Music,560,170,20,90,190,100,370,0,280,90,370
Royal Holloway and Bedford New College,6030,840,550,940,1390,450,4610,40,3680,970,4650
Royal Northern College of Music,580,150,0,100,150,50,430,0,370,70,440
The Royal Veterinary College,770,100,70,110,170,60,600,0,500,100,600
St George's Hospital Medical School,2660,50,440,450,490,40,1090,1090,2090,90,2180
College of St Mark and St John,3180,270,630,870,890,20,2260,30,2090,190,2280
St Martin's College,7600,550,1200,1620,1760,140,3670,2180,5770,70,5840
